stream,date,ph_upstream,ph_dowstream,spc_upstream,spc_downstream,ca_upstream,ca_downstream,ca_mass_trans_mgL,reach_length_m
CB,20230831,,7.38,,367,42,42.4,0.4,252
CB,20230907,,7.56,,365,42,42.4,0.4,252
CB,20231008,7.36,7.35,367.7,368.4,42.7,43.1,0.4,162
CC,20230802,7.25,7.27,327,333,46.8,47.7,0.9,126
CC,20231006,,7.31,336.5,337.1,44.6,45,0.4,184
CD,20230911,,8.36,,426.6,69.7,64.1,-5.6,52
CD,20231009,8.34,8.33,417.4,416.7,66.6,65.8,-0.8,52
RA,20230804,7.83,7.9,471,462,80.5,80.1,-0.4,206
RA,20231005,8.1,8.15,462.9,460.7,69.6,69.3,-0.3,137
RC,20230810,8.12,8.09,369,367,48.1,47.7,-0.4,340
RC,20231007,8.22,8.24,351.7,350.7,43.5,43.1,-0.4,150
RS,20230828,7.46,7.5,384,389,37.2,43.6,6.4,408
RS,20231011,7.51,7.57,368.4,368.4,43.5,43.9,0.4,408
SR,20231011,7.81,7.8,450.9,451,50,39.6,-10.4,72
