Date,Site,Probe_meter,Reach_Lenght_m,Slug_type,Addition_Time,Time_hms,NaCl_added_g,Times_s,SpC_uScm,Backg_SpC_uScm,NaCl_conc_mgL
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:51:00,6000,0,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:51:05,6000,5,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:51:10,6000,10,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:51:15,6000,15,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:51:20,6000,20,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:51:25,6000,25,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:51:30,6000,30,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:51:35,6000,35,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:51:40,6000,40,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:51:45,6000,45,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:51:50,6000,50,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:51:55,6000,55,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:52:00,6000,60,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:52:05,6000,65,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:52:10,6000,70,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:52:15,6000,75,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:52:20,6000,80,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:52:25,6000,85,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:52:30,6000,90,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:52:35,6000,95,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:52:40,6000,100,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:52:45,6000,105,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:52:50,6000,110,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:52:55,6000,115,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:53:00,6000,120,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:53:05,6000,125,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:53:10,6000,130,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:53:15,6000,135,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:53:20,6000,140,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:53:25,6000,145,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:53:30,6000,150,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:53:35,6000,155,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:53:40,6000,160,462,0,0
