Date;Addition_time;Site;Reach_Lenght_m;Slug_type;Probe_meter;NaCl_added_g;N_added_g;P_added_g;Time_Phase;Time_hms;Time_s;SpC_uScm;Backg_SpC_uScm;Backg_SpC_corr_uScm;NaCl_conc_mgL;NaCl_flux_mg_s_L;Travertine_formation;obs
03/08/2023;12:50:00;RT;465;discharge;Hanna;10212;0;0;release;12:50:00;0;341;341;0;0;0;Non-active;
03/08/2023;12:50:00;RT;465;discharge;Hanna;10212;0;0;rising;13:09:00;1140;344;341;3;1.3833;6.9165;Non-active;
03/08/2023;12:50:00;RT;465;discharge;Hanna;10212;0;0;rising;13:09:05;1145;344;341;3;1.3833;6.9165;Non-active;
03/08/2023;12:50:00;RT;465;discharge;Hanna;10212;0;0;rising;13:09:10;1150;345;341;4;1.8444;9.222;Non-active;
03/08/2023;12:50:00;RT;465;discharge;Hanna;10212;0;0;rising;13:09:15;1155;347;341;6;2.7666;13.833;Non-active;
03/08/2023;12:50:00;RT;465;discharge;Hanna;10212;0;0;rising;13:09:20;1160;348;341;7;3.2277;16.1385;Non-active;
03/08/2023;12:50:00;RT;465;discharge;Hanna;10212;0;0;rising;13:09:25;1165;349;341;8;3.6888;18.444;Non-active;
03/08/2023;12:50:00;RT;465;discharge;Hanna;10212;0;0;rising;13:09:30;1170;349;341;8;3.6888;18.444;Non-active;
03/08/2023;12:50:00;RT;465;discharge;Hanna;10212;0;0;rising;13:09:35;1175;350;341;9;4.1499;20.7495;Non-active;
03/08/2023;12:50:00;RT;465;discharge;Hanna;10212;0;0;rising;13:09:40;1180;351;341;10;4.611;23.055;Non-active;
03/08/2023;12:50:00;RT;465;discharge;Hanna;10212;0;0;rising;13:09:45;1185;352;341;11;5.0721;25.3605;Non-active;
03/08/2023;12:50:00;RT;465;discharge;Hanna;10212;0;0;rising;13:09:50;1190;352;341;11;5.0721;25.3605;Non-active;
03/08/2023;12:50:00;RT;465;discharge;Hanna;10212;0;0;rising;13:09:55;1195;353;341;12;5.5332;27.666;Non-active;
03/08/2023;12:50:00;RT;465;discharge;Hanna;10212;0;0;rising;13:10:00;1200;354;341;13;5.9943;29.9715;Non-active;
