stream,date,n_ugl,p_ugL,nacl_mass_g,amonium_added_g,phophate_added_g,time_phase,time_hms,time_since_release_s,spc_uScm,backg_spc_uScm,backg_spc_corr_uScm,nacl_conc_mgL,reach_length_m,reach_mean_width_m,water_velocity_ms
RC,2023-10-07,2.24,1.345826998,4752,102,196,release,11:30:00,0,350.7,350.7,0,0,150,7.866,0.189873417721519
RC,2023-10-07,54.7212,8.07078787,4752,102,196,rising,11:40:10,610,367,350.7,16.3,7.51593,150,7.866,0.189873417721519
RC,2023-10-07,16.872,1.768130357,4752,102,196,rising,11:40:20,620,369,350.7,18.3,8.43813,150,7.866,0.189873417721519
RC,2023-10-07,30.8479,2.704698115,4752,102,196,rising,11:40:30,630,379.3,350.7,28.6,13.18746,150,7.866,0.189873417721519
RC,2023-10-07,66.2868,11.36508017,4752,102,196,rising,11:40:40,640,384.5,350.7,33.8,15.58518,150,7.866,0.189873417721519
RC,2023-10-07,85.2917,10.41683793,4752,102,196,rising,11:40:50,650,388.6,350.7,37.9,17.47569,150,7.866,0.189873417721519
RC,2023-10-07,67.6414,11.82188523,4752,102,196,rising,11:41:20,680,395,350.7,44.3,20.42673,150,7.866,0.189873417721519
RC,2023-10-07,73.1968,8.780648836,4752,102,196,rising,11:42:00,720,396,350.7,45.3,20.88783,150,7.866,0.189873417721519
RC,2023-10-07,76.2436,9.103197294,4752,102,196,rising,11:42:30,750,397.1,350.7,46.4,21.39504,150,7.866,0.189873417721519
RC,2023-10-07,98.2628,13.11282909,4752,102,196,rising,11:43:10,790,397.5,350.7,46.8,21.57948,150,7.866,0.189873417721519
RC,2023-10-07,75.4064,15.77056838,4752,102,196,falling,11:43:50,830,395,350.7,44.3,20.42673,150,7.866,0.189873417721519
RC,2023-10-07,86.987,20.91386458,4752,102,196,falling,11:44:20,860,391,350.7,40.3,18.58233,150,7.866,0.189873417721519
RC,2023-10-07,72.0723,13.60635334,4752,102,196,falling,11:44:50,890,384.1,350.7,33.4,15.40074,150,7.866,0.189873417721519
RC,2023-10-07,61.092,11.17574478,4752,102,196,falling,11:45:10,910,377.2,350.7,26.5,12.21915,150,7.866,0.189873417721519
RC,2023-10-07,51.0267,10.38474939,4752,102,196,falling,11:47:50,1070,368.4,350.7,17.7,8.16147,150,7.866,0.189873417721519
RC,2023-10-07,35.9564,29.8588041,4752,102,196,falling,11:49:20,1160,365.2,350.7,14.5,6.68595,150,7.866,0.189873417721519
RC,2023-10-07,22.4005,4.937949152,4752,102,196,falling,11:50:20,1220,361.5,350.7,10.8,4.97988,150,7.866,0.189873417721519
RC,2023-10-07,13.0267,4.490927188,4752,102,196,falling,11:51:20,1280,360.2,350.7,9.5,4.38045,150,7.866,0.189873417721519
RC,2023-10-07,19.9935,3.684376687,4752,102,196,falling,11:52:40,1360,358.7,350.7,8,3.6888,150,7.866,0.189873417721519
RC,2023-10-07,16.0514,2.400672307,4752,102,196,falling,11:53:20,1400,357.5,350.7,6.8,3.13548,150,7.866,0.189873417721519
RC,2023-10-07,15.3121,2.301569611,4752,102,196,falling,11:54:20,1460,355.1,350.7,4.4,2.02884,150,7.866,0.189873417721519
RC,2023-10-07,3.202,1.161937528,4752,102,196,falling,11:56:00,1560,353.4,350.7,2.7,1.24497,150,7.866,0.189873417721519
RC,2023-10-07,2.4373,1.08448807,4752,102,196,falling,11:58:44,1724,352.6,350.7,1.9,0.87609,150,7.866,0.189873417721519
RC,2023-10-07,2.2522,-0.208021091,4752,102,196,falling,12:02:00,1920,351.9,350.7,1.2,0.55332,150,7.866,0.189873417721519
CB,2023-10-08,6.127,1.84509066,8275,182,349,release,10:40:00,0,368.3,368.3,0,0,162,7.65,0.081
CB,2023-10-08,6.3802,152.154498,8275,182,349,release,10:41:00,60,368.3,368.3,0,0,162,7.65,0.081
CB,2023-10-08,17.8477,3.4833342,8275,182,349,rising,11:04:40,1480,369.4,368.3,1.1,0.50721,162,7.65,0.081
CB,2023-10-08,15.6978,4.55686521,8275,182,349,rising,11:05:20,1520,370.3,368.3,2,0.9222,162,7.65,0.081
CB,2023-10-08,15.0066,3.833862293,8275,182,349,rising,11:06:00,1560,370.5,368.3,2.2,1.01442,162,7.65,0.081
CB,2023-10-08,19.3328,3.2933792140000002,8275,182,349,rising,11:06:30,1590,373.1,368.3,4.8,2.21328,162,7.65,0.081
CB,2023-10-08,15.1167,3.490867179,8275,182,349,rising,11:06:50,1610,372.1,368.3,3.8,1.75218,162,7.65,0.081
CB,2023-10-08,25.5583,1.264366474,8275,182,349,rising,11:07:00,1620,376.6,368.3,8.3,3.82713,162,7.65,0.081
CB,2023-10-08,25.052,3.835786301,8275,182,349,rising,11:07:20,1640,378.5,368.3,10.2,4.70322,162,7.65,0.081
CB,2023-10-08,43.8746,7.541457513,8275,182,349,rising,11:08:10,1690,390,368.3,21.7,10.00587,162,7.65,0.081
CB,2023-10-08,38.6186,5.193613889,8275,182,349,rising,11:08:40,1720,394.2,368.3,25.9,11.94249,162,7.65,0.081
CB,2023-10-08,52.2292,8.409054491,8275,182,349,rising,11:09:10,1750,398.3,368.3,30,13.833,162,7.65,0.081
CB,2023-10-08,51.4184,6.221425261,8275,182,349,rising,11:09:40,1780,393.5,368.3,25.2,11.61972,162,7.65,0.081
CB,2023-10-08,66.7988,13.170158,8275,182,349,rising,11:10:10,1810,405.5,368.3,37.2,17.15292,162,7.65,0.081
CB,2023-10-08,70.0978,16.39851228,8275,182,349,rising,11:10:40,1840,395,368.3,26.7,12.31137,162,7.65,0.081
CB,2023-10-08,78.0821,18.45909179,8275,182,349,rising,11:11:20,1880,414,368.3,45.7,21.07227,162,7.65,0.081
CB,2023-10-08,72.2051,17.27745764,8275,182,349,rising,11:12:20,1940,415.7,368.3,47.4,21.85614,162,7.65,0.081
CB,2023-10-08,81.8491,14.97572498,8275,182,349,rising,11:13:20,2000,417.5,368.3,49.2,22.68612,162,7.65,0.081
CB,2023-10-08,83.4849,15.0518048,8275,182,349,falling,11:14:20,2060,416,368.3,47.7,21.99447,162,7.65,0.081
CB,2023-10-08,72.0298,16.79511872,8275,182,349,falling,11:15:20,2120,412.1,368.3,43.8,20.19618,162,7.65,0.081
CB,2023-10-08,64.2463,11.26897762,8275,182,349,falling,11:16:20,2180,411.5,368.3,43.2,19.91952,162,7.65,0.081
CB,2023-10-08,63.2284,11.9342277,8275,182,349,falling,11:17:20,2240,408.4,368.3,40.1,18.49011,162,7.65,0.081
CB,2023-10-08,45.8046,12.71178765,8275,182,349,falling,11:20:20,2420,400.5,368.3,32.2,14.84742,162,7.65,0.081
CB,2023-10-08,29.8667,12.36879253,8275,182,349,falling,11:23:20,2600,390.5,368.3,22.2,10.23642,162,7.65,0.081
CB,2023-10-08,24.1257,7.411342424,8275,182,349,falling,11:26:20,2780,385.3,368.3,17,7.8387,162,7.65,0.081
CB,2023-10-08,18.7554,7.331773297,8275,182,349,falling,11:30:20,3020,379.5,368.3,11.2,5.16432,162,7.65,0.081
CB,2023-10-08,19.3137,5.313587175,8275,182,349,falling,11:35:20,3320,376,368.3,7.7,3.55047,162,7.65,0.081
CB,2023-10-08,9.048,3.449549932,8275,182,349,falling,11:40:20,3620,372.6,368.3,4.3,1.98273,162,7.65,0.081
CB,2023-10-08,13.0077,1.311520965,8275,182,349,falling,11:45:20,3920,370.9,368.3,2.6,1.19886,162,7.65,0.081
CB,2023-10-08,3.5851,3.170960156,8275,182,349,falling,11:50:20,4220,369.8,368.3,1.5,0.69165,162,7.65,0.081
CB,2023-10-08,10.4137,3.619188702,8275,182,349,falling,12:00:10,4810,369.2,368.3,0.9,0.41499,162,7.65,0.081
CD,2023-10-09,4.46,2.266774424,1755,46,89,release,11:24:00,0,416.6,416.6,0,0,165,5.49,0.0390977443609023
CD,2023-10-09,1.73,4.71228589,1755,46,89,release,11:25:00,60,416.6,416.6,0,0,165,5.49,0.0390977443609023
CD,2023-10-09,6.38,3.276552301,1755,46,89,rising,11:37:20,800,417.2,416.6,0.6,0.27666,165,5.49,0.0390977443609023
CD,2023-10-09,8.79,3.975097494,1755,46,89,rising,11:38:00,840,417.4,416.6,0.8,0.36888,165,5.49,0.0390977443609023
CD,2023-10-09,19.17,4.573724734,1755,46,89,rising,11:38:40,880,418.1,416.6,1.5,0.69165,165,5.49,0.0390977443609023
CD,2023-10-09,25.77,3.722726398,1755,46,89,rising,11:39:20,920,418.6,416.6,2,0.9222,165,5.49,0.0390977443609023
CD,2023-10-09,22,5.922323607,1755,46,89,rising,11:40:00,960,421.5,416.6,4.9,2.25939,165,5.49,0.0390977443609023
CD,2023-10-09,55.07,6.590997768,1755,46,89,rising,11:40:40,1000,433.3,416.6,16.7,7.70037,165,5.49,0.0390977443609023
CD,2023-10-09,54.61,5.950661956,1755,46,89,rising,11:41:10,1030,440.7,416.6,24.1,11.11251,165,5.49,0.0390977443609023
CD,2023-10-09,56.75,9.64553916,1755,46,89,rising,11:41:40,1060,444,416.6,27.4,12.63414,165,5.49,0.0390977443609023
CD,2023-10-09,72.99,5.038225819,1755,46,89,rising,11:42:10,1090,451.6,416.6,35,16.1385,165,5.49,0.0390977443609023
CD,2023-10-09,12.95,7.379677825,1755,46,89,rising,11:42:40,1120,456,416.6,39.4,18.16734,165,5.49,0.0390977443609023
CD,2023-10-09,70.18,6.547397799,1755,46,89,rising,11:43:10,1150,462.3,416.6,45.7,21.07227,165,5.49,0.0390977443609023
CD,2023-10-09,86.85,5.514955765,1755,46,89,rising,11:43:40,1180,463.8,416.6,47.2,21.76392,165,5.49,0.0390977443609023
CD,2023-10-09,117.27,13.29518588,1755,46,89,rising,11:44:10,1210,472.7,416.6,56.1,25.86771,165,5.49,0.0390977443609023
CD,2023-10-09,94.96,13.01718309,1755,46,89,rising,11:45:10,1270,476.2,416.6,59.6,27.48156,165,5.49,0.0390977443609023
CD,2023-10-09,106.52,10.10433344,1755,46,89,rising,11:46:10,1330,479.6,416.6,63,29.0493,165,5.49,0.0390977443609023
CD,2023-10-09,99.51,7.956880099,1755,46,89,rising,11:47:10,1390,479.6,416.6,63,29.0493,165,5.49,0.0390977443609023
CD,2023-10-09,92.27,NA,1755,46,89,falling,11:48:10,1450,477.5,416.6,60.9,28.08099,165,5.49,0.0390977443609023
CD,2023-10-09,93.05,7.514488796,1755,46,89,falling,11:49:10,1510,476.2,416.6,59.6,27.48156,165,5.49,0.0390977443609023
CD,2023-10-09,78.3,6.033198621,1755,46,89,falling,11:50:10,1570,474.9,416.6,58.3,26.88213,165,5.49,0.0390977443609023
CD,2023-10-09,98.89,12.34153033,1755,46,89,falling,11:51:00,1620,473.6,416.6,57,26.2827,165,5.49,0.0390977443609023
CD,2023-10-09,37.68,9.453171012,1755,46,89,falling,11:52:10,1690,472.6,416.6,56,25.8216,165,5.49,0.0390977443609023
CD,2023-10-09,49.25,11.59899384,1755,46,89,falling,11:54:10,1810,468,416.6,51.4,23.70054,165,5.49,0.0390977443609023
CD,2023-10-09,59.55,11.68850911,1755,46,89,falling,11:59:10,2110,454.9,416.6,38.3,17.66013,165,5.49,0.0390977443609023
CD,2023-10-09,45.01,5.243768527,1755,46,89,falling,12:04:10,2410,447.1,416.6,30.5,14.06355,165,5.49,0.0390977443609023
CD,2023-10-09,44.55,7.317000832,1755,46,89,falling,12:09:10,2710,439.1,416.6,22.5,10.37475,165,5.49,0.0390977443609023
CD,2023-10-09,61.22,5.453191861,1755,46,89,falling,12:14:10,3010,435,416.6,18.4,8.48424,165,5.49,0.0390977443609023
