stream,date,release_time,width_m,reach_m,added_mass_NaCl_g,added_mass_NH4Cl_g,molar_mass_NH4Cl_nutrient,SpC_uScm_bck,nh4_n_ugL_bck,curve_limb,sample_btc,time_along_btc,time_since_addition_s,time_to_peak_s,SpC_uScm,corr_SpC_uScm,NaCl_mgL,NaCl_flux_mgs_L,measured_NH4_N_ug_L,bck_corrected_N_ug_L,N_flux_mg,expected_N_ug_L
CB,20230907,13:55:00,7.5,162,7632,195,53.491,365,33.03,rising,4,14:19:35,1295,1835,366.9,1.8,0.846,101.52,56.882,23.852,1023.2612,5.6614
CB,20230907,13:55:00,7.5,162,7632,195,53.491,365,33.03,rising,17,14:21:35,1415,1835,373.6,8.5,3.995,399.5,63.7144,30.6844,1540.0584,26.7344
CB,20230907,13:55:00,7.5,162,7632,195,53.491,365,33.03,rising,9,14:23:15,1515,1835,385.7,20.6,9.682,774.56,95.4732,62.4432,2097.4514,64.7916
CB,20230907,13:55:00,7.5,162,7632,195,53.491,365,33.03,rising,7,14:24:35,1595,1835,393.4,28.3,13.301,1596.12,124.4503,91.4203,4241.5166,89.0098
CB,20230907,13:55:00,7.5,162,7632,195,53.491,365,33.03,rising,2,14:26:35,1715,1835,400.8,35.7,16.779,2013.48,146.722,113.692,4863.2137,112.2845
CB,20230907,13:55:00,7.5,162,7632,195,53.491,365,33.03,peak,23,14:28:35,1835,1835,401.9,36.8,17.296,3113.28,153.5383,120.5083,7207.0069,115.7442
CB,20230907,13:55:00,7.5,162,7632,195,53.491,365,33.03,falling,26,14:31:35,2015,1835,397.8,32.7,15.369,3150.645,143.9829,110.9529,6892.5999,102.8488
CB,20230907,13:55:00,7.5,162,7632,195,53.491,365,33.03,falling,21,14:35:00,2220,1835,391,25.9,12.173,2921.52,117.5125,84.4825,6303.8572,81.4613
CB,20230907,13:55:00,7.5,162,7632,195,53.491,365,33.03,falling,16,14:39:00,2460,1835,383.9,18.8,8.836,3180.96,102.6801,69.6501,6646.6776,59.1302
CB,20230907,13:55:00,7.5,162,7632,195,53.491,365,33.03,falling,19,14:45:00,2820,1835,375.8,10.7,5.029,2413.92,73.7016,40.6716,4162.3105,33.6539
CB,20230907,13:55:00,7.5,162,7632,195,53.491,365,33.03,falling,6,14:53:00,3300,1835,369.9,4.8,2.256,1759.68,47.705,14.675,2038.9789,15.0971
CB,20230907,13:55:00,7.5,162,7632,195,53.491,365,33.03,falling,25,15:06:00,4080,1835,366.7,1.6,0.752,0,39.6919,6.6619,0,5.0324
CB,20231008,10:40:00,7.5,162,8275,182,53.491,368.3,6.127,rising,3,11:04:40,1480,2000,369.4,1.1,0.518,20.706,17.848,11.594,140.653,2.982
CB,20231008,10:40:00,7.5,162,8275,182,53.491,368.3,6.127,rising,4,11:05:20,1520,2000,370.3,2,0.941,37.648,15.698,9.444,121.659,5.422
CB,20231008,10:40:00,7.5,162,8275,182,53.491,368.3,6.127,rising,5,11:06:00,1560,2000,370.5,2.2,1.035,31.06,15.007,8.753,109.471,5.964
CB,20231008,10:40:00,7.5,162,8275,182,53.491,368.3,6.127,rising,6,11:06:30,1590,2000,373.1,4.8,2.259,45.178,19.333,13.079,73.349,13.012
CB,20231008,10:40:00,7.5,162,8275,182,53.491,368.3,6.127,rising,7,11:06:50,1610,2000,372.1,3.8,1.788,17.883,15.117,8.863,47.079,10.301
CB,20231008,10:40:00,7.5,162,8275,182,53.491,368.3,6.127,rising,8,11:07:00,1620,2000,376.6,8.3,3.906,78.12,25.558,19.305,127.37,22.5
CB,20231008,10:40:00,7.5,162,8275,182,53.491,368.3,6.127,rising,9,11:07:20,1640,2000,378.5,10.2,4.8,240.006,25.052,18.799,471.493,27.651
CB,20231008,10:40:00,7.5,162,8275,182,53.491,368.3,6.127,rising,10,11:08:10,1690,2000,390,21.7,10.212,306.361,43.875,37.621,350.921,58.826
CB,20231008,10:40:00,7.5,162,8275,182,53.491,368.3,6.127,rising,11,11:08:40,1720,2000,394.2,25.9,12.189,365.656,38.619,32.365,392.812,70.212
CB,20231008,10:40:00,7.5,162,8275,182,53.491,368.3,6.127,rising,12,11:09:10,1750,2000,398.3,30,14.118,423.54,52.229,45.976,456.992,81.327
CB,20231008,10:40:00,7.5,162,8275,182,53.491,368.3,6.127,rising,13,11:09:40,1780,2000,393.5,25.2,11.859,355.774,51.418,45.165,530.046,68.315
CB,20231008,10:40:00,7.5,162,8275,182,53.491,368.3,6.127,rising,14,11:10:10,1810,2000,405.5,37.2,17.506,525.19,66.799,60.545,623.707,100.845
