stream,date,release_time,width_m,reach_m,added_mass_NaCl_g,added_mass_PO4_g,type_P,molar_mass_P_nutrient,SpC_uScm_bck,nh4_n_ugL_bck,srp_ugL_bck,sample_btc,curve_limb,time_along_btc,time_since_addition_s,time_to_peak_s,SpC_uScm,corr_SpC_uScm,NaCl_mgL,NaCl_flux_mgs_L,measured_SRP_ug_L,bck_corrected_SRP_ug_L,SRP_flux_mg,expected_SRP_ug_L,ph,temp_c,ca_mgL_up,ca_mgL_down,mg_mgL,na_mgL,k_mgL,so42_mgL,cl_mgL
CB,20230907,13:55:00,7.75,162,7632,355,K2HPO4,174.18,365,39.69,5.83,10,rising,14:18:55,1435,2075,365.3,0.2,0.094,9.4,7.8118,2.0776,84.85606,0.77743,7.56,28.5,42,42.4,24,0.6,1.9,0.01,0.01
CB,20230907,13:55:00,7.75,162,7632,355,K2HPO4,174.18,365,39.69,5.83,22,rising,14:20:35,1535,2075,369.2,4.1,1.927,231.24,8.4209,2.6867,325.31596,15.9373,7.56,28.5,42,42.4,24,0.6,1.9,0.01,0.01
CB,20230907,13:55:00,7.75,162,7632,355,K2HPO4,174.18,365,39.69,5.83,14,rising,14:22:35,1655,2075,381.5,16.4,7.708,462.48,18.2684,12.5342,369.36139,63.74918,7.56,28.5,42,42.4,24,0.6,1.9,0.01,0.01
CB,20230907,13:55:00,7.75,162,7632,355,K2HPO4,174.18,365,39.69,5.83,5,rising,14:23:35,1715,2075,385.5,20.4,9.588,1150.56,27.7634,22.0292,999.44318,79.29776,7.56,28.5,42,42.4,24,0.6,1.9,0.01,0.01
CB,20230907,13:55:00,7.75,162,7632,355,K2HPO4,174.18,365,39.69,5.83,8,rising,14:25:35,1835,2075,397.9,32.8,15.416,1849.92,30.467,24.7328,1212.6023,127.49836,7.56,28.5,42,42.4,24,0.6,1.9,0.01,0.01
CB,20230907,13:55:00,7.75,162,7632,355,K2HPO4,174.18,365,39.69,5.83,18,rising,14:27:35,1955,2075,402.2,37.1,17.437,2092.44,37.7367,32.0025,1209.0437,144.21309,7.56,28.5,42,42.4,24,0.6,1.9,0.01,0.01
CB,20230907,13:55:00,7.75,162,7632,355,K2HPO4,174.18,365,39.69,5.83,1,peak,14:29:35,2075,2075,406.1,41,19.27,1156.2,30.3005,24.5663,466.49409,159.37296,7.56,28.5,42,42.4,24,0.6,1.9,0.01,0.01
CB,20230907,13:55:00,7.75,162,7632,355,K2HPO4,174.18,365,39.69,5.83,16,falling,14:30:35,2135,2075,399.9,34.8,16.356,2371.62,24.8206,19.0864,5967.74421,135.27265,7.56,28.5,42,42.4,24,0.6,1.9,0.01,0.01
CB,20230907,13:55:00,7.75,162,7632,355,K2HPO4,174.18,365,39.69,5.83,15,falling,14:33:00,2280,2075,395,29.9,14.053,3372.72,217.7257,211.9915,35340.76141,116.22564,7.56,28.5,42,42.4,24,0.6,1.9,0.01,0.01
CB,20230907,13:55:00,7.75,162,7632,355,K2HPO4,174.18,365,39.69,5.83,20,falling,14:37:00,2520,2075,386.9,21.8,10.246,3073.8,620.5054,614.7712,66493.8982,84.73977,7.56,28.5,42,42.4,24,0.6,1.9,0.01,0.01
