source_file,date_raw,time_raw,full_range_uscm,temp_c,spc_calculated_uscm,coupler_detached,coupler_attached,host_connected,stopped,end_of_file,stream,station,date,logger_serial,datetime,spc_uscm,nacl_mass_g,amonium_added_g,phophate_added_g,reach_length_m,reach_mean_width_m,addition_time,addition_datetime,background_spc
SpC_CD_091023.xlsx,2023-10-09T12:20:40Z,2023-10-09T12:20:40Z,431,27.07,368.1540319742786,NA,NA,NA,NA,NA,CD,NA,2023-10-09,20835561,2023-10-09T15:20:40Z,413.86594968311886,1755,46,89,165,5.49,12:24:00,2023-10-09T15:24:00Z,416.6
SpC_CD_091023.xlsx,2023-10-09T12:20:50Z,2023-10-09T12:20:50Z,430.6,27.05,367.93462355883986,NA,NA,NA,NA,NA,CD,NA,2023-10-09,20835561,2023-10-09T15:20:50Z,413.6407300672431,1755,46,89,165,5.49,12:24:00,2023-10-09T15:24:00Z,416.6
SpC_CD_091023.xlsx,2023-10-09T12:21:00Z,2023-10-09T12:21:00Z,431.8,27.05,368.94086945143545,NA,NA,NA,NA,NA,CD,NA,2023-10-09,20835561,2023-10-09T15:21:00Z,414.79346781940444,1755,46,89,165,5.49,12:24:00,2023-10-09T15:24:00Z,416.6
SpC_CD_091023.xlsx,2023-10-09T12:21:10Z,2023-10-09T12:21:10Z,431.8,27.05,368.92175178557625,NA,NA,NA,NA,NA,CD,NA,2023-10-09,20835561,2023-10-09T15:21:10Z,414.79346781940444,1755,46,89,165,5.49,12:24:00,2023-10-09T15:24:00Z,416.6
SpC_CD_091023.xlsx,2023-10-09T12:21:20Z,2023-10-09T12:21:20Z,432.20000000000005,27.07,369.1025426981821,NA,NA,NA,NA,NA,CD,NA,2023-10-09,20835561,2023-10-09T15:21:20Z,415.0182446706357,1755,46,89,165,5.49,12:24:00,2023-10-09T15:24:00Z,416.6
SpC_CD_091023.xlsx,2023-10-09T12:21:30Z,2023-10-09T12:21:30Z,431.8,27.05,368.883516453858,NA,NA,NA,NA,NA,CD,NA,2023-10-09,20835561,2023-10-09T15:21:30Z,414.79346781940444,1755,46,89,165,5.49,12:24:00,2023-10-09T15:24:00Z,416.6
SpC_CD_091023.xlsx,2023-10-09T12:21:40Z,2023-10-09T12:21:40Z,431.8,27.05,368.8643987879988,NA,NA,NA,NA,NA,CD,NA,2023-10-09,20835561,2023-10-09T15:21:40Z,414.79346781940444,1755,46,89,165,5.49,12:24:00,2023-10-09T15:24:00Z,416.6
SpC_CD_091023.xlsx,2023-10-09T12:21:50Z,2023-10-09T12:21:50Z,432.20000000000005,27.05,369.1869627165095,NA,NA,NA,NA,NA,CD,NA,2023-10-09,20835561,2023-10-09T15:21:50Z,415.17771373679165,1755,46,89,165,5.49,12:24:00,2023-10-09T15:24:00Z,416.6
SpC_CD_091023.xlsx,2023-10-09T12:22:00Z,2023-10-09T12:22:00Z,451.20000000000005,27.04,385.4709196743327,NA,NA,NA,NA,NA,CD,NA,2023-10-09,20835561,2023-10-09T15:22:00Z,433.51268255188324,1755,46,89,165,5.49,12:24:00,2023-10-09T15:24:00Z,416.6
SpC_CD_091023.xlsx,2023-10-09T12:22:10Z,2023-10-09T12:22:10Z,450,27.04,384.4258037705945,NA,NA,NA,NA,NA,CD,NA,2023-10-09,20835561,2023-10-09T15:22:10Z,432.3597232897771,1755,46,89,165,5.49,12:24:00,2023-10-09T15:24:00Z,416.6
