source_file,date_raw,time_raw,full_range_uscm,temp_c,spc_calculated_uscm,coupler_detached,coupler_attached,host_connected,stopped,end_of_file,stream,station,date,logger_serial,datetime,spc_uscm,nacl_mass_g,amonium_added_g,phophate_added_g,reach_length_m,reach_mean_width_m,addition_time,addition_datetime,background_spc
SpC_RS_111023.xlsx,2023-10-11T11:36:10Z,2023-10-11T11:36:10Z,433.70000000000005,28.14,1,NA,NA,NA,NA,NA,RS,NA,2023-10-11,20835561,2023-10-11T14:36:10Z,408.07301467820855,10448,484,924,408,6.96,11:40:40,2023-10-11T14:40:40Z,368.4
SpC_RS_111023.xlsx,2023-10-11T11:36:20Z,2023-10-11T11:36:20Z,433,27.98,1,NA,NA,NA,NA,NA,RS,NA,2023-10-11,20835561,2023-10-11T14:36:20Z,408.644771611929,10448,484,924,408,6.96,11:40:40,2023-10-11T14:40:40Z,368.4
SpC_RS_111023.xlsx,2023-10-11T11:36:30Z,2023-10-11T11:36:30Z,432.6,27.900000000000002,1,NA,NA,NA,NA,NA,RS,NA,2023-10-11,20835561,2023-10-11T14:36:30Z,408.88468809073726,10448,484,924,408,6.96,11:40:40,2023-10-11T14:40:40Z,368.4
SpC_RS_111023.xlsx,2023-10-11T11:36:40Z,2023-10-11T11:36:40Z,432.6,27.900000000000002,1,NA,NA,NA,NA,NA,RS,NA,2023-10-11,20835561,2023-10-11T14:36:40Z,408.88468809073726,10448,484,924,408,6.96,11:40:40,2023-10-11T14:40:40Z,368.4
SpC_RS_111023.xlsx,2023-10-11T11:36:50Z,2023-10-11T11:36:50Z,433,27.900000000000002,1,NA,NA,NA,NA,NA,RS,NA,2023-10-11,20835561,2023-10-11T14:36:50Z,409.2627599243856,10448,484,924,408,6.96,11:40:40,2023-10-11T14:40:40Z,368.4
SpC_RS_111023.xlsx,2023-10-11T11:37:00Z,2023-10-11T11:37:00Z,432.6,27.87,1,NA,NA,NA,NA,NA,RS,NA,2023-10-11,20835561,2023-10-11T14:37:00Z,409.11670134291654,10448,484,924,408,6.96,11:40:40,2023-10-11T14:40:40Z,368.4
SpC_RS_111023.xlsx,2023-10-11T11:37:10Z,2023-10-11T11:37:10Z,431.90000000000003,27.740000000000002,1,NA,NA,NA,NA,NA,RS,NA,2023-10-11,20835561,2023-10-11T14:37:10Z,409.4615092908609,10448,484,924,408,6.96,11:40:40,2023-10-11T14:40:40Z,368.4
SpC_RS_111023.xlsx,2023-10-11T11:37:20Z,2023-10-11T11:37:20Z,431.90000000000003,27.73,1,NA,NA,NA,NA,NA,RS,NA,2023-10-11,20835561,2023-10-11T14:37:20Z,409.5391617674948,10448,484,924,408,6.96,11:40:40,2023-10-11T14:40:40Z,368.4
SpC_RS_111023.xlsx,2023-10-11T11:37:30Z,2023-10-11T11:37:30Z,432.3,27.740000000000002,1,NA,NA,NA,NA,NA,RS,NA,2023-10-11,20835561,2023-10-11T14:37:30Z,409.8407281001138,10448,484,924,408,6.96,11:40:40,2023-10-11T14:40:40Z,368.4
SpC_RS_111023.xlsx,2023-10-11T11:37:40Z,2023-10-11T11:37:40Z,431.90000000000003,27.68,1,NA,NA,NA,NA,NA,RS,NA,2023-10-11,20835561,2023-10-11T14:37:40Z,409.9278663629461,10448,484,924,408,6.96,11:40:40,2023-10-11T14:40:40Z,368.4
