source_file,stream,date,station,start_datetime,end_datetime,n_obs,output_file,label
SpC_CB_070923.xlsx,CB,2023-09-07,NA,2023-09-07T17:47:29Z,2023-09-07T19:14:33Z,174,slug_CB_20230907.csv,NA
SpC_CB_100823.xlsx,CB,2023-10-08,NA,2023-10-08T14:26:22Z,2023-10-08T16:24:43Z,710,slug_CB_20231008.csv,NA
SpC_CC_061023.xlsx,CC,2023-10-06,NA,2023-10-06T16:50:55Z,2023-10-06T18:03:40Z,437,slug_CC_20231006.csv,NA
SpC_CD_091023.xlsx,CD,2023-10-09,NA,2023-10-09T15:20:34Z,2023-10-09T17:08:32Z,648,slug_CD_20231009.csv,NA
SpC_RA_060923.xlsx,RA,2023-09-06,NA,2023-09-06T16:42:48Z,2023-09-06T19:44:32Z,364,slug_RA_20230906_SpC_RA_060923_P.csv,SpC_RA_060923_P
SpC_RA_060923.xlsx,RA,2023-09-06,NA,2023-09-06T19:45:43Z,2023-09-06T21:36:54Z,223,slug_RA_20230906_N.csv,N
SpC_RA_dowstream_051023.xlsx,RA,2023-10-05,downstream,2023-10-05T16:14:50Z,2023-10-05T19:05:10Z,1022,slug_RA_20231005_downstream.csv,NA
SpC_RA_upstream_051023.xlsx,RA,2023-10-05,upstream,2023-10-05T15:46:14Z,2023-10-05T19:28:24Z,444,slug_RA_20231005_upstream.csv,NA
SpC_RC_071023.xlsx,RC,2023-10-07,NA,2023-10-07T15:21:05Z,2023-10-07T16:40:42Z,478,slug_RC_20231007.csv,NA
SpC_RS_111023.xlsx,RS,2023-10-11,NA,2023-10-11T14:36:08Z,2023-10-11T16:00:11Z,505,slug_RS_20231011.csv,NA
SpC_SA_101023.xlsx,SA,2023-10-10,NA,2023-10-10T16:28:25Z,2023-10-10T18:37:16Z,773,slug_SA_20231010.csv,NA
SpC_RA_060923.xlsx,RA,2023-09-06,NA,2023-09-06T16:46:24Z,2023-09-06T19:48:07Z,363,slug_RA_20230906_P.csv,P
SpC_SR_091023_downstream.xlsx,SR,2023-10-09,downstream,2023-10-09T20:20:20Z,2023-10-09T22:18:20Z,709,slug_SR_20231009_downstream.csv,built directly from the raw export (Shiny app not run this session); see Sec. 8.1
SpC_SR_091023_upstream.xlsx,SR,2023-10-09,upstream,2023-10-09T19:34:00Z,2023-10-10T03:45:00Z,492,slug_SR_20231009_upstream.csv,built directly from the raw export (Shiny app not run this session); see Sec. 8.2
