event_id,slug_label,solute,curve_limb,time_since_release_s,datetime,spc_uscm_grab,nacl_mgL,conc_corr_ugL,conc_corr_coprec_ugL,discharge_Ls_reach_mean,discharge_Ls_reach_sd,reach_length_m,reach_mean_width_m
RA_20230906_N,N,NH4-N,rising,2460,2023-09-06T20:26:00Z,466.4,0,44.62,NA,228,32.526911934581186,135,9.46
RA_20230906_N,N,NH4-N,rising,2700,2023-09-06T20:30:00Z,476.1,0,51.98,NA,228,32.526911934581186,135,9.46
RA_20230906_N,N,NH4-N,rising,3000,2023-09-06T20:35:00Z,478,0,30.02,NA,228,32.526911934581186,135,9.46
RA_20230906_N,N,NH4-N,rising,3060,2023-09-06T20:36:00Z,481,0,21.43,NA,228,32.526911934581186,135,9.46
RA_20230906_N,N,NH4-N,rising,3120,2023-09-06T20:37:00Z,483,0,30.42,NA,228,32.526911934581186,135,9.46
RA_20230906_N,N,NH4-N,rising,3180,2023-09-06T20:38:00Z,485,0.3424205130302873,48.39,NA,228,32.526911934581186,135,9.46
RA_20230906_N,N,NH4-N,rising,3240,2023-09-06T20:39:00Z,487,1.965613719287662,54.97,NA,228,32.526911934581186,135,9.46
RA_20230906_N,N,NH4-N,rising,3300,2023-09-06T20:40:00Z,488,3.0362916600006558,61.99,NA,228,32.526911934581186,135,9.46
RA_20230906_N,N,NH4-N,rising,3360,2023-09-06T20:41:00Z,488.9,4.0201601751458345,45.56,NA,228,32.526911934581186,135,9.46
RA_20230906_N,N,NH4-N,rising,3420,2023-09-06T20:42:00Z,489,4.803411148702052,73.88,NA,228,32.526911934581186,135,9.46
RA_20230906_N,N,NH4-N,rising,3480,2023-09-06T20:43:00Z,489,5.328662285996536,69.79,NA,228,32.526911934581186,135,9.46
RA_20230906_N,N,NH4-N,rising,3540,2023-09-06T20:44:00Z,490,5.873777139163296,55.14,NA,228,32.526911934581186,135,9.46
RA_20230906_N,N,NH4-N,peak,3600,2023-09-06T20:45:00Z,490,6.166650912792516,63.22,NA,228,32.526911934581186,135,9.46
RA_20230906_N,N,NH4-N,peak,3660,2023-09-06T20:46:00Z,490,6.227379498320036,98.5,NA,228,32.526911934581186,135,9.46
