event_id,stream,date,station,slug_label,solute,datetime,time_since_release_s,anchor_drift_s,sample_btc,curve_limb,conc_ugL,background_ugL,conc_corr_ugL,spc_uscm_grab,spc_corr_uscm_grab,spc_uscm_logger,nacl_mgL_grab,nacl_mgL_grab_src,nacl_mgL_logger,nacl_mgL,nacl_source,gap_s,a_PO4,a_HPO4,h_adsorbed,k1_langmuir,k2_langmuir,delta_ca_mgL,p_coprec_ugL,flag_delta_ca_neg,conc_corr_coprec_ugL
CB_20230907_single,CB,2023-09-07,NA,NA,NH4-N,2023-09-07T18:19:35Z,1295,0,4,rising,56.882,33.03,23.852,366.9,1.8,401.31684204048986,0.8300862,0.846,0.6886591131216238,0.6886591131216238,logger_interpolated,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB_20230907_single,CB,2023-09-07,NA,NA,NH4-N,2023-09-07T18:21:35Z,1415,0,17,rising,63.7144,33.03,30.6844,373.6,8.5,401.0438125975568,3.9198515,3.995,0.7652038536600136,0.7652038536600136,logger_interpolated,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB_20230907_single,CB,2023-09-07,NA,NA,NH4-N,2023-09-07T18:23:15Z,1515,0,9,rising,95.4732,33.03,62.4432,385.7,20.6,402.138835355539,9.4998754,9.682,1.4388957248849372,1.4388957248849372,logger_interpolated,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB_20230907_single,CB,2023-09-07,NA,NA,NH4-N,2023-09-07T18:24:35Z,1595,0,7,rising,124.4503,33.03,91.4203,393.4,28.3,408.66771261984866,13.0507997,13.301,4.584716052158022,4.584716052158022,logger_interpolated,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB_20230907_single,CB,2023-09-07,NA,NA,NH4-N,2023-09-07T18:26:35Z,1715,0,2,rising,146.722,33.03,113.692,400.8,35.7,422.3365274141613,16.4633763,16.779,11.09066773930038,11.09066773930038,logger_interpolated,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB_20230907_single,CB,2023-09-07,NA,NA,NH4-N,2023-09-07T18:28:35Z,1835,0,23,peak,153.5383,33.03,120.5083,401.9,36.8,436.0593194264968,16.9706512,17.296,17.62151150632896,17.62151150632896,logger_interpolated,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB_20230907_single,CB,2023-09-07,NA,NA,NH4-N,2023-09-07T18:31:35Z,2015,0,26,falling,143.9829,33.03,110.9529,397.8,32.7,438.16726080905164,15.079899300000001,15.369,18.897289734484495,18.897289734484495,logger_interpolated,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB_20230907_single,CB,2023-09-07,NA,NA,NH4-N,2023-09-07T18:35:00Z,2220,0,21,falling,117.5125,33.03,84.4825,391,25.9,431.5608074839981,11.9440181,12.173,16.196524481468188,16.196524481468188,logger_interpolated,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB_20230907_single,CB,2023-09-07,NA,NA,NH4-N,2023-09-07T18:39:00Z,2460,0,16,falling,102.6801,33.03,69.6501,383.9,18.8,421.2640182864838,8.6697892,8.836,11.852976922755593,11.852976922755593,logger_interpolated,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB_20230907_single,CB,2023-09-07,NA,NA,NH4-N,2023-09-07T18:45:00Z,2820,0,19,falling,73.7016,33.03,40.6716,375.8,10.7,407.86657442598477,4.934401299999999,5.029,6.281989285727558,6.281989285727558,logger_interpolated,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
