stream,date,reach_length_m,ca_mass_trans_mgL,ca_loss_mgL,v_btc_ms,z_btc_m,mean_width_m,Q_calcium_Ls,Q_min_ponto,Q_max_ponto,Q_alt,flag_sem_vazao,flag_no_width,flag_no_btc_v,flag_no_q,r_areal_btc_mgm2s,r_areal_campaign_mgm2s,r_areal_Qmin_mgm2s,r_areal_Qmax_mgm2s,r_areal_Qalt_mgm2s,r_areal_campaign_mgm2d,route_disagreement_pct
CB,2023-08-31,252,0.3999999999999986,-0.3999999999999986,NA,NA,7.75,470.4106901752298,361.4981784598248,470.4106901752298,NA,FALSE,FALSE,TRUE,FALSE,NA,-0.09634627550951932,-0.07403956548076263,-0.09634627550951932,NA,-8324.31820402247,NA
CB,2023-09-07,252,0.3999999999999986,-0.3999999999999986,0.08165322580645161,0.6057122143632483,7.75,383.17555172606416,361.4981784598248,470.4106901752298,NA,FALSE,FALSE,FALSE,FALSE,-0.07850532732242535,-0.07847937567354075,-0.07403956548076263,-0.09634627550951932,NA,-6780.618058193922,0.03306811332514803
CB,2023-10-08,162,0.3999999999999986,-0.3999999999999986,0.07431192660550459,0.5502725169616174,7.75,361.4981784598248,361.4981784598248,470.4106901752298,NA,FALSE,FALSE,FALSE,FALSE,-0.10096743430488356,-0.11517265741451965,-0.11517265741451965,-0.14987198412591896,NA,-9950.917600614497,-12.333850263183441
CC,2023-08-02,126,0.9000000000000057,-0.9000000000000057,NA,NA,3.11,264.24654932540545,206.3663552841421,264.24654932540545,NA,FALSE,FALSE,TRUE,FALSE,NA,-0.6069052579821018,-0.4739695803494337,-0.6069052579821018,NA,-52436.6142896536,NA
CC,2023-10-06,184,0.3999999999999986,-0.3999999999999986,0.12602739726027398,0.4943971743871328,3.11,206.3663552841421,206.3663552841421,264.24654932540545,NA,FALSE,FALSE,FALSE,FALSE,-0.1354512806540085,-0.14425161141069576,-0.14425161141069576,-0.18471029590759439,NA,-12463.339225884114,-6.100681074287638
CD,2023-09-11,52,-5.6000000000000085,5.6000000000000085,NA,NA,5.49,118.29179458591544,38.086866735241465,118.29179458591544,NA,FALSE,FALSE,TRUE,FALSE,NA,2.3204219198582297,0.7471152224931782,2.3204219198582297,NA,200484.45387575103,NA
CD,2023-10-09,52,-0.7999999999999972,0.7999999999999972,0.033121019108280254,0.16280371447574826,5.49,38.086866735241465,38.086866735241465,118.29179458591544,NA,FALSE,FALSE,FALSE,FALSE,0.08295730673923449,0.10673074607045349,0.10673074607045349,0.33148884569403114,NA,9221.536460487181,-22.27421826089929
RA,2023-08-04,206,-0.4000000000000057,0.4000000000000057,NA,NA,9.47,240,189.38107300590073,318.5720355728872,481,FALSE,FALSE,TRUE,FALSE,NA,0.04921007576301317,0.038831070627921266,0.06532064169382962,0.09862519350837223,4251.750545924338,NA
RA,2023-10-05,137,-0.29999999999999716,0.29999999999999716,NA,NA,9.47,189.38107300590073,189.38107300590073,318.5720355728872,NA,FALSE,FALSE,TRUE,FALSE,NA,0.04379124388331163,0.04379124388331163,0.07366451928245574,NA,3783.563471518125,NA
RC,2023-08-10,340,-0.3999999999999986,0.3999999999999986,NA,NA,7.86,224.48929687146023,224.48929687146023,398.9775846760973,NA,FALSE,FALSE,TRUE,FALSE,NA,0.033601152053803235,0.033601152053803235,0.05971824347793682,NA,2903.1395374485996,NA
RC,2023-10-07,150,-0.3999999999999986,0.3999999999999986,0.1724137931034483,0.3697043231215088,7.86,398.9775846760973,224.48929687146023,398.9775846760973,NA,FALSE,FALSE,FALSE,FALSE,0.16997899913632528,0.13536135188332346,0.076162611321954,0.13536135188332346,NA,11695.220802719146,25.574247576103524
RS,2023-08-28,408,6.399999999999999,-6.399999999999999,NA,NA,7.92,1252.7852437455958,1144.9072431721736,1252.7852437455958,NA,FALSE,FALSE,TRUE,FALSE,NA,-2.4812541963667964,-2.2675920839219117,-2.4812541963667964,NA,-214380.3625660912,NA
RS,2023-10-11,408,0.3999999999999986,-0.3999999999999986,0.21139896373056996,0.7470681820715606,7.92,1144.9072431721736,1144.9072431721736,1252.7852437455958,NA,FALSE,FALSE,FALSE,FALSE,-0.15483278384902757,-0.14172450524511904,-0.14172450524511904,-0.15507838727292425,NA,-12244.997253178284,9.249126381663611
SR,2023-10-11,72,-10.399999999999999,10.399999999999999,0.07272727272727272,0.040602676523916435,2,5.088081513656143,5.088081513656143,5.8105338641520845,NA,FALSE,FALSE,FALSE,FALSE,0.4265331675239706,0.36747255376405474,0.36747255376405474,0.41964966796653935,NA,31749.62864521433,16.072115632841857
