event_id,sample_btc,p_coprec_ugL,conc_corr_ugL,sigma_label,sigma_molm2,p_coprec_ugL_sens,frac_of_srp_sens
CB_20230907_single,1,-0.0788243647082009,24.5663,field_high,9.5e-8,-0.13615117540507427,-0.005542192980020364
CB_20230907_single,1,-0.0788243647082009,24.5663,field_low,5.5e-8,-0.0788243647082009,-0.0032086380410644216
CB_20230907_single,1,-0.0788243647082009,24.5663,lab_ceiling,1.5e-7,-0.21497554011327516,-0.008750831021084786
CB_20230907_single,3,-0.11493699082567838,39.2676,field_high,9.5e-8,-0.19852752960798992,-0.005055759190986714
CB_20230907_single,3,-0.11493699082567838,39.2676,field_low,5.5e-8,-0.11493699082567838,-0.0029270184789923085
CB_20230907_single,3,-0.11493699082567838,39.2676,lab_ceiling,1.5e-7,-0.3134645204336683,-0.007982777669979024
CB_20230907_single,5,-0.07245622308735508,22.0292,field_high,9.5e-8,-0.12515165805997697,-0.005681171266318203
CB_20230907_single,5,-0.07245622308735508,22.0292,field_low,5.5e-8,-0.07245622308735508,-0.003289099154184223
CB_20230907_single,5,-0.07245622308735508,22.0292,lab_ceiling,1.5e-7,-0.19760788114733202,-0.008970270420502425
CB_20230907_single,8,-0.0792408946978195,24.7328,field_high,9.5e-8,-0.1368706362962337,-0.005533972550468757
CB_20230907_single,8,-0.0792408946978195,24.7328,field_low,5.5e-8,-0.0792408946978195,-0.0032038788450082277
CB_20230907_single,8,-0.0792408946978195,24.7328,lab_ceiling,1.5e-7,-0.21611153099405317,-0.008737851395476984
CB_20230907_single,10,-0.020915161369661713,2.0776,field_high,9.5e-8,-0.03612618782032478,-0.017388423094110886
CB_20230907_single,10,-0.020915161369661713,2.0776,field_low,5.5e-8,-0.020915161369661713,-0.010066981791327355
CB_20230907_single,10,-0.020915161369661713,2.0776,lab_ceiling,1.5e-7,-0.05704134918998648,-0.02745540488543824
CB_20230907_single,12,-0.9373919570577284,629.6768,field_high,9.5e-8,-1.6191315621906217,-0.0025713692519569115
CB_20230907_single,12,-0.9373919570577284,629.6768,field_low,5.5e-8,-0.9373919570577284,-0.0014886874616592647
CB_20230907_single,12,-0.9373919570577284,629.6768,lab_ceiling,1.5e-7,-2.55652351924835,-0.004060056713616176
CB_20230907_single,14,-0.04825627219721038,12.5342,field_high,9.5e-8,-0.08335174288609067,-0.0066499451808723865
CB_20230907_single,14,-0.04825627219721038,12.5342,field_low,5.5e-8,-0.04825627219721038,-0.0038499682626103285
CB_20230907_single,14,-0.04825627219721038,12.5342,lab_ceiling,1.5e-7,-0.13160801508330103,-0.010499913443482714
CB_20230907_single,15,-0.4580849348604599,211.9915,field_high,9.5e-8,-0.7912376147589762,-0.0037324025480218606
CB_20230907_single,15,-0.4580849348604599,211.9915,field_low,5.5e-8,-0.4580849348604599,-0.0021608646330652874
CB_20230907_single,15,-0.4580849348604599,211.9915,lab_ceiling,1.5e-7,-1.249322549619436,-0.005893267181087148
CB_20230907_single,16,-0.06501836361101615,19.0864,field_high,9.5e-8,-0.11230444623720971,-0.005884003596131785
CB_20230907_single,16,-0.06501836361101615,19.0864,field_low,5.5e-8,-0.06501836361101615,-0.003406528397760507
CB_20230907_single,16,-0.06501836361101615,19.0864,lab_ceiling,1.5e-7,-0.17732280984822585,-0.009290531993892293
CB_20230907_single,18,-0.09725641741570351,32.0025,field_high,9.5e-8,-0.167988357354397,-0.005249226071538067
CB_20230907_single,18,-0.09725641741570351,32.0025,field_low,5.5e-8,-0.09725641741570351,-0.003039025620364144
CB_20230907_single,18,-0.09725641741570351,32.0025,lab_ceiling,1.5e-7,-0.26524477477010044,-0.008288251691902209
CB_20230907_single,20,-0.9252701199068262,614.7712,field_high,9.5e-8,-1.598193843475427,-0.0025996563330803833
CB_20230907_single,20,-0.9252701199068262,614.7712,field_low,5.5e-8,-0.9252701199068262,-0.0015050641928360114
CB_20230907_single,20,-0.9252701199068262,614.7712,lab_ceiling,1.5e-7,-2.523463963382253,-0.004104720525916395
CB_20230907_single,22,-0.022528135250107384,2.6867,field_high,9.5e-8,-0.038912233613821845,-0.014483281949537293
CB_20230907_single,22,-0.022528135250107384,2.6867,field_low,5.5e-8,-0.022528135250107384,-0.008385057970784749
CB_20230907_single,22,-0.022528135250107384,2.6867,lab_ceiling,1.5e-7,-0.06144036886392922,-0.02286833992032204
CB_20230907_single,24,-0.3527107975803747,151.5734,field_high,9.5e-8,-0.6092277412751927,-0.00401935789046886
CB_20230907_single,24,-0.3527107975803747,151.5734,field_low,5.5e-8,-0.3527107975803747,-0.00232699667342934
CB_20230907_single,24,-0.3527107975803747,151.5734,lab_ceiling,1.5e-7,-0.9619385388555673,-0.0063463545638982
CB_20231008_single,3,0.018353412373491824,5.0317,field_high,9.5e-8,0.031701348645122245,0.006300325664312706
CB_20231008_single,3,0.018353412373491824,5.0317,field_low,5.5e-8,0.018353412373491824,0.0036475569635494613
CB_20231008_single,3,0.018353412373491824,5.0317,lab_ceiling,1.5e-7,0.05005476101861406,0.009947882627862165
CB_20231008_single,4,0.03269304917402278,8.3237,field_high,9.5e-8,0.05646981220967571,0.00678422002350826
CB_20231008_single,4,0.03269304917402278,8.3237,field_low,5.5e-8,0.03269304917402278,0.0039277063293995185
CB_20231008_single,4,0.03269304917402278,8.3237,lab_ceiling,1.5e-7,0.08916286138369847,0.010711926352907778
CB_20231008_single,5,0.027575260314859153,6.1066,field_high,9.5e-8,0.04762999508930217,0.007799756835113184
CB_20231008_single,5,0.027575260314859153,6.1066,field_low,5.5e-8,0.027575260314859153,0.004515648694012896
CB_20231008_single,5,0.027575260314859153,6.1066,lab_ceiling,1.5e-7,0.07520525540416133,0.012315405529126081
CB_20231008_single,6,0.023732607730564046,4.4492,field_high,9.5e-8,0.04099268608006517,0.009213495927372374
CB_20231008_single,6,0.023732607730564046,4.4492,field_low,5.5e-8,0.023732607730564046,0.005334129221110322
CB_20231008_single,6,0.023732607730564046,4.4492,lab_ceiling,1.5e-7,0.0647252938106292,0.014547625148482695
CB_20231008_single,7,0.025138381470701222,5.0548,field_high,9.5e-8,0.043420840722120296,0.008590021508688829
CB_20231008_single,7,0.025138381470701222,5.0548,field_low,5.5e-8,0.025138381470701222,0.004973170347135638
CB_20231008_single,7,0.025138381470701222,5.0548,lab_ceiling,1.5e-7,0.06855922219282151,0.013563191855824466
CB_20231008_single,8,0.009176293453558136,-1.7728,field_high,9.5e-8,0.015849961419782236,-0.008940637082458392
CB_20231008_single,8,0.009176293453558136,-1.7728,field_low,5.5e-8,0.009176293453558136,-0.005176158310896963
CB_20231008_single,8,0.009176293453558136,-1.7728,lab_ceiling,1.5e-7,0.02502625487334037,-0.014116795393355353
CB_20231008_single,9,0.027588950682671462,6.1125,field_high,9.5e-8,0.04765364208825071,0.00779609686515349
CB_20231008_single,9,0.027588950682671462,6.1125,field_low,5.5e-8,0.027588950682671462,0.0045135297640362315
CB_20231008_single,9,0.027588950682671462,6.1125,lab_ceiling,1.5e-7,0.07524259277092217,0.012309626629189722
CB_20231008_single,10,0.05354978914962154,17.476,field_high,9.5e-8,0.09249509034934629,0.005292692283665959
CB_20231008_single,10,0.05354978914962154,17.476,field_low,5.5e-8,0.05354978914962154,0.003064190269490818
CB_20231008_single,10,0.05354978914962154,17.476,lab_ceiling,1.5e-7,0.14604487949896783,0.008356882553156777
CB_20231008_single,11,0.03717904169540689,10.2763,field_high,9.5e-8,0.0642183447466119,0.006249169910046601
CB_20231008_single,11,0.03717904169540689,10.2763,field_low,5.5e-8,0.03717904169540689,0.003617940474237506
CB_20231008_single,11,0.03717904169540689,10.2763,lab_ceiling,1.5e-7,0.10139738644201877,0.009867110384284106
