column,unit,description
event_id,-,Event key
solute,-,NH4-N or SRP
datetime,-,Reconstructed as addition_datetime + time_since_addition_s
time_since_release_s,s,Elapsed time from the release anchoring this slug
anchor_drift_s,s,Disagreement between spreadsheet clock and reconstructed timestamp
sample_btc,-,Sample identifier along the breakthrough curve
curve_limb,-,rising / peak / falling
conc_ugL,ug/L,Measured nutrient concentration
background_ugL,ug/L,Ambient nutrient concentration before release
conc_corr_ugL,ug/L,Background-corrected nutrient concentration
spc_uscm_grab,uS/cm,SpC read with the handheld probe
spc_corr_uscm_grab,uS/cm,Background-corrected SpC from the spreadsheet (constant background)
spc_uscm_logger,uS/cm,Logger SpC interpolated at the grab timestamp
nacl_mgL_grab,mg/L,NaCl from spc_corr_uscm_grab using NACL_SLOPE
nacl_mgL_grab_src,mg/L,NaCl as it appears in the source spreadsheet
nacl_mgL_logger,mg/L,Logger NaCl interpolated at the grab timestamp
nacl_mgL,mg/L,"Value used downstream; logger where available, grab otherwise"
nacl_source,-,logger_interpolated or handheld_grab
gap_s,s,Distance to the nearest logger record; interpolation quality
a_PO4,-,"PO4(3-) activity, PHREEQC, downstream solution"
a_HPO4,-,"HPO4(2-) activity, PHREEQC, downstream solution"
k1_langmuir,-,"Two-component Langmuir constant for PO4(3-), Arrhenius in temp_c"
k2_langmuir,-,"Two-component Langmuir constant for HPO4(2-), Arrhenius in temp_c"
h_adsorbed,-,Fraction of dissolved phosphate liable to sorb onto new calcite
delta_ca_mgL,mg/L,"ca_mgL_up - ca_mgL_down, synoptic pair on arrival; positive = Ca lost"
p_coprec_ugL,ug/L,"Inorganic P co-precipitated with calcite, House (1990)"
conc_corr_coprec_ugL,ug/L,conc_corr_ugL + p_coprec_ugL; SRP without abiotic removal. NA for NH4-N
flag_delta_ca_neg,-,TRUE when the reach gained calcium; model not parameterised for this direction
discharge_Ls,L/s,"Adopted event discharge, taken straight from events$discharge_Ls with no override for any event -- source given by discharge_source/discharge_method"
reach_length_m,m,"events$reach_length_m, unchanged for every event"
reach_mean_width_m,m,"events$reach_mean_width_m, unchanged for every event"
discharge_source,-,"logger / probe / manual_excel / NA, from events, unchanged for every event"
discharge_method,-,Method behind the adopted discharge_Ls (logger_trapz_truepeak / probe_trapz_endrising / manual_fixed_background)
reason_discharge,-,"Why the logger was not used, where it was not; NA when the logger is the adopted source"
discharge_Ls_logger,L/s,"Raw logger-based trapezoidal estimate (Sec. 6), independent of which source was adopted; NA where no usable logger series exists"
discharge_Ls_probe,L/s,"Raw handheld/probe-based trapezoidal estimate (Sec. 6), independent of which source was adopted; currently the adopted source for RA_20230906_N/_P and RA_20231005_downstream"
discharge_Ls_manual,L/s,"Manual Excel value (fixed background, negatives retained), Sec. 6; kept as reference only -- not the adopted source for any event as of this revision"
discharge_Ls_day_mean,L/s,"mean(each slug's own adopted discharge_Ls), RA_20230906_N/_P only; NA for every other event. A reference value for the river's discharge that day -- NOT used to compute discharge_Ls or anything derived from it in this table"
discharge_Ls_day_mean_sd,L/s,"sd() of the same two adopted values, RA_20230906_N/_P only; NA elsewhere"
flag_discharge_invalid,-,TRUE when no usable discharge exists for this event -- currently RA_20231005_upstream only
flag_mixing_incomplete,-,"TRUE for RA_20231005_upstream: logger sampled the plume core, not a well-mixed cross-section, so the dilution-gauging premise fails"
flag_no_baseline,-,"TRUE when the window carries no clean pre-release baseline (RA_20230906_N, RA_20231005_downstream)"
flag_weak_signal,-,TRUE when the adopted trapezoidal estimate's peak is only marginally above background noise (RA_20230906_P: ~3%)
flag_sparse_recession,-,TRUE when one unsampled interval holds >30% of the handheld trapezoidal area
flag_broken_pairing,-,"TRUE for RA_20231005 (both stations): SRP series is erratic (-3 to +120 ug/L point to point, no coherent shape) and the NaCl pairing is at or near zero for nearly the whole grab window, per Section 3 and 03 Sec 1.1. NOT excluded from this table -- using, weighting, or dropping these rows is a modelling decision, not a pipeline decision"
