Site,Date,key,Slug_type,reach_m,n,dt_med_s,dt_max_s,t_max_s,bg,spc_max,peak_ratio,retorno,conc_neg,nacl_g_raw,n_g,p_g,probe,travertino,integral_Ct,nacl_g_corrigido,motivo_massa,motivo_ancora,nacl_g,Q_Ls,tem_nutrientes,flag_massa_corrigida,flag_ancora,flag_truncado,flag_mistura,flag_sinal_fraco,max_gap_s,frac_area_max_gap,flag_recessao_esparsa
CB,2023-08-31,CB 20230831 252,discharge,252,633,5,5,3160,327,371,1.1345565749235473,0,0,7390,0,0,Hanna,Non-active,15709.677000000142,NA,NA,NA,7390,470.4106901752298,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0.006383915468153802,FALSE
CB,2023-09-07,CB 20230907 162,nutrient_spiral_NP,162,26,60,1255,4260,365,402.2,1.101917808219178,0.045698924731182505,0,7390,195,355,Hanna,Non-active,19286.19915,NA,NA,NA,7390,383.17555172606416,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1255,0.10885443438968116,FALSE
CB,2023-10-08,CB 20231008 162,nutrient_spiral_NP,162,31,60,1420,4810,368.3,417.5,1.1335867499321206,0.01829268292682881,0,8275,182,349,YSI,Non-active,22890.848400000017,NA,NA,NA,8275,361.49817845982477,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1420,0.13107324147933283,FALSE
CC,2023-08-02,CC 20230802 126,discharge,126,118,5,480,1060,336,481,1.431547619047619,0.020689655172413793,0,4200,0,0,Hanna,Non-active,13881.415500000003,NA,NA,"primeira tentativa; curva anomala, trecho depois alongado",4200,302.5628042039372,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,480,0.05580468360737419,FALSE
CC,2023-08-02,CC 20230802 286,discharge,286,475,5,425,2790,334,428,1.281437125748503,0,0,6158,0,0,Hanna,Non-active,23303.99400000018,NA,NA,NA,6158,264.24654932540545,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,425,0.009250098931539375,FALSE
CC,2023-10-06,CC 20231006 184,nutrient_spiral_NP,184,21,60,1020,2640,337.1,429.4,1.273805992287155,0.0021668472372696505,0,4500,103,199,YSI,Non-active,21805.88009999998,NA,NA,NA,4500,206.3663552841421,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1020,0.17610116089742237,FALSE
CD,2023-09-11,CD 20230911 52,discharge,52,57,60,420,5820,423.55,532,1.2560500531224177,0.003227293683724905,0,8055,0,0,Hanna,Active,68094.32579999999,NA,NA,NA,8055,118.29179458591543,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,420,0.08251736887010928,FALSE
CD,2023-10-09,CD 20231009 52,nutrient_spiral_NP,52,31,60,1905,5760,416.6,479.6,1.1512241958713394,0.014285714285713924,0,1755,46,89,YSI,Active,46078.87575000001,NA,NA,NA,1755,38.086866735241465,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1905,0.1394047711554899,FALSE
RA,2023-08-04,RA 20230804 206,discharge,206,1913,5,5,9535,462,474,1.025974025974026,0,0,6000,0,0,Hanna,NA,24872,NA,NA,NA,6000,240,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA
RA,2023-08-30,RA 20230830 150,discharge,150,1885,5,5,9420,414,433,1.0458937198067633,0,0,7294,0,0,Hanna,Active,22895.920500000007,NA,NA,NA,7294,318.5720355728872,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0.001913201087503776,FALSE
RA,2023-09-06,RA 20230906 135,nutrient_spiral_N,135,78,60,480,6480,465.5,490,1.0526315789473684,0.4122448979591846,0,6240,0,149,Hanna,Active,31439.642399999953,NA,NA,NA,6240,198.47553991262984,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,60,0.024096385542168676,FALSE
RA,2023-09-06,RA 20230906 135,nutrient_spiral_P,135,114,60,60,6780,465.5,488,1.0483351235230935,0.25333333333333286,0,5957,0,291,Hanna,Active,23648.896799999988,NA,NA,NA,5957,251.89335681823445,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,60,0.024096385542168676,FALSE
RA,2023-10-05,RA 20231005 137,nutrient_spiral_NP,137,30,180,3000,10200,460.7,477,1.0353809420447146,0.07361963190183975,0,5947,154,295,YSI,Active,31402.29329999996,NA,NA,NA,5947,189.38107300590073,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3000,0.2607814633716576,FALSE
RC,2023-08-10,RC 20230810 340,discharge,340,432,15,30,9480,367,404,1.1008174386920981,0.08108108108108109,0,8400,0,0,Hanna,Active,37418.26500000013,NA,NA,NA,8400,224.48929687146025,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,30,0.006839186691312385,FALSE
RC,2023-10-07,RC 20231007 150,nutrient_spiral_NP,150,24,40,610,1920,350.7,397.5,1.133447390932421,0.02564102564102539,0,4752,102,196,YSI,Active,11910.443549999996,NA,NA,NA,4752,398.97758467609725,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,610,0.19246627049418324,FALSE
RS,2023-08-29,RS 20230829 408,discharge,408,901,5,5,4500,389,410,1.0539845758354756,0,0,1257.85,0,0,Hanna,Non-active,8214.496500000125,10291,ficha de campo; planilha trazia 1258 g,NA,10291,1252.7852437455958,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,0.005332584900364861,FALSE
RS,2023-10-11,RS 20231011 408,nutrient_spiral_NP,408,23,65,1245,3600,368.4,387.8,1.0526601520086862,0.05154639175257723,0,10448,484,924,YSI,Non-active,9125.630099999995,NA,NA,NA,10448,1144.9072431721736,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1245,0.17007730786721237,FALSE
RT,2023-08-03,RT 20230803 465,discharge,465,141,5,1140,1835,341,364,1.067448680351906,0,0,10212,0,0,Hanna,Non-active,4208.690250000043,NA,NA,NA,10212,2426.4080731528993,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1140,0.1873459326211997,FALSE
SA,2023-09-01,SA 20230901 168,discharge,168,35,60,1515,4965,5,23,4.6,0,0,3000,0,0,Hanna,NA,10614.521999999997,NA,NA,NA,3000,282.6316625468392,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1515,0.17484795829713295,FALSE
SA,2023-10-10,SA 20231010 200,nutrient_spiral_NP,200,31,50,1440,5505,5.1,32.3,6.333333333333333,0.018382352941176475,0,3139,155,298,YSI,NA,15519.611579999997,NA,NA,NA,3139,202.26021661812754,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1440,0.13880586372252496,FALSE
SR,2023-10-10,SR 20231010 72,discharge,72,494,10,1330,6250,519.2,1278.5,2.462442218798151,0,0,3101,0,0,Hanna,Active,533685.9009000063,NA,NA,NA,3101,5.8105338641520845,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1330,0.006526158633995122,FALSE
SR,2023-10-11,SR 20231011 72,nutrient_spiral_NP,72,35,20,500,2600,451,779,1.7272727272727273,0.013414634146341394,0,638,2.07,4.02,YSI,Active,125391.07290000003,NA,NA,NA,638,5.088081513656143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,500,0.21622496221579104,FALSE
