Site,date_ca,reach_ca_m,date_q,motivo_data,Q_Ls,reach_q_m,flag_massa_corrigida,flag_truncado,flag_mistura,flag_sinal_fraco,flag_recessao_esparsa,dist_dias,reach_difere,flag_sem_vazao,Q_media_ponto,Q_min_ponto,Q_max_ponto,n_datas_ponto,Q_alt,razao_media
CB,2023-08-31,252,2023-08-31,mesmo dia,470.4106901752298,252,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,405.0281401203729,361.49817845982477,470.4106901752298,3,NA,1.1614271789496537
CB,2023-09-07,252,2023-09-07,mesmo dia,383.17555172606416,162,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,405.0281401203729,361.49817845982477,470.4106901752298,3,NA,0.9460467403874353
CB,2023-10-08,162,2023-10-08,mesmo dia,361.49817845982477,162,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,405.0281401203729,361.49817845982477,470.4106901752298,3,NA,0.8925260806629111
CC,2023-08-02,126,2023-08-02,mesmo dia,264.24654932540545,286,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,235.30645230477376,206.3663552841421,264.24654932540545,2,NA,1.1229889649738456
CC,2023-10-06,184,2023-10-06,mesmo dia,206.3663552841421,184,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,235.30645230477376,206.3663552841421,264.24654932540545,2,NA,0.8770110350261545
CD,2023-09-11,52,2023-09-11,mesmo dia,118.29179458591543,52,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,78.18933066057845,38.086866735241465,118.29179458591543,2,NA,1.5128892086239059
CD,2023-10-09,52,2023-10-09,mesmo dia,38.086866735241465,52,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,78.18933066057845,38.086866735241465,118.29179458591543,2,NA,0.4871107913760941
RA,2023-08-04,206,2023-08-04,mesmo dia,240,206,FALSE,TRUE,FALSE,TRUE,NA,0,FALSE,FALSE,239.66440106193045,189.38107300590073,318.5720355728872,5,481,1.0014002869703742
RA,2023-10-05,137,2023-10-05,mesmo dia,189.38107300590073,137,FALSE,TRUE,FALSE,TRUE,FALSE,0,FALSE,FALSE,239.66440106193045,189.38107300590073,318.5720355728872,5,NA,0.7901927535619432
RC,2023-08-10,340,2023-08-10,mesmo dia,224.48929687146025,340,FALSE,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,311.73344077377874,224.48929687146025,398.97758467609725,2,NA,0.720132226796834
RC,2023-10-07,150,2023-10-07,mesmo dia,398.97758467609725,150,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,311.73344077377874,224.48929687146025,398.97758467609725,2,NA,1.279867773203166
RS,2023-08-28,408,2023-08-29,vazao medida no dia seguinte,1252.7852437455958,408,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,1198.8462434588846,1144.9072431721736,1252.7852437455958,2,NA,1.0449924254932705
RS,2023-10-11,408,2023-10-11,mesmo dia,1144.9072431721736,408,FALSE,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,1198.8462434588846,1144.9072431721736,1252.7852437455958,2,NA,0.9550075745067296
SR,2023-10-11,72,2023-10-11,mesmo dia,5.088081513656143,72,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,5.449307688904113,5.088081513656143,5.8105338641520845,2,NA,0.9337115472514977
