event_id,stream,date,station,slug_label,addition_datetime,label,amonium_added_g,phophate_added_g,background_spc_probe,logger_serial,source_file,n_obs,start,end,duration_min,dt_median_s,spc_min,spc_max,t_peak_s_hobo_window,flag_no_pre_release,flag_peak_at_edge,flag_truncated_tail,flag_logging_gap,flag_na_present,ph,temp_c,ca_mgL_up,ca_mgL_down,mg_mgL,na_mgL,k_mgL,so42_mgL,cl_mgL,discharge_Ls_logger,water_velocity_ms_logger,stream_depth_m_logger,t_peak_s_logger,truncated_tail,discharge_Ls_probe,water_velocity_ms_probe,stream_depth_m_probe,t_peak_s_probe,max_gap_s,frac_area_max_gap,flag_sparse_recession,nacl_mass_g,reach_length_m,reach_mean_width_m,reason_discharge,discharge_Ls_manual,discharge_ratio,discharge_source,discharge_Ls,t_peak_s,water_velocity_ms,stream_depth_m,discharge_method,flag_discharge_alt,flag_discharge_invalid,flag_mixing_incomplete,flag_no_baseline,flag_weak_signal,n_grabs_nh4,n_grabs_srp,nh4_background_ugL,srp_background_ugL,has_logger,has_nutrients
CB_20230907_single,CB,2023-09-07,NA,NA,2023-09-07T17:58:00Z,NaCl + nutrient release,195,355,365,20835561,SpC_CB_070923.xlsx,174,2023-09-07T17:47:34Z,2023-09-07T19:14:04Z,86.5,30,378.7347842124678,438.4459210040606,1984,FALSE,FALSE,TRUE,FALSE,FALSE,7.56,28.5,42,42.4,24,0.6,1.9,0.01,0.01,383.30226065174304,0.08165322580645161,0.6057122143632483,1984,TRUE,393.01127493845075,0.08286445012787724,0.6119769354875915,1955,540,0.11576891337516845,FALSE,7632,162,7.75,NA,NA,0.9752958377893147,logger,383.30226065174304,1984,0.08165322580645161,0.6057122143632483,logger_trapz_truepeak,FALSE,FALSE,FALSE,FALSE,FALSE,12,13,33.03,5.83,TRUE,TRUE
CB_20231008_single,CB,2023-10-08,NA,NA,2023-10-08T14:40:00Z,NaCl + nutrient release,182,349,368.3,20835561,SpC_CB_100823.xlsx,710,2023-10-08T14:26:30Z,2023-10-08T16:24:40Z,118.16666666666667,10,117.72339636633296,465.1357381926366,2180,FALSE,FALSE,TRUE,FALSE,FALSE,7,28.4,43.1,42.7,24,0.6,1.9,0.01,0.01,316.9115344244545,0.07431192660550459,0.5502725169616174,2180,TRUE,367.22918280084406,0.08350515463917525,0.5674429427587714,1940,590,0.13316824591203977,FALSE,8275,162,7.75,NA,NA,0.8629802566543905,logger,316.9115344244545,2180,0.07431192660550459,0.5502725169616174,logger_trapz_truepeak,FALSE,FALSE,FALSE,FALSE,FALSE,29,29,6.127,5.83,TRUE,TRUE
CC_20231006_single,CC,2023-10-06,NA,NA,2023-10-06T17:06:00Z,NaCl + nutrient release,103,199,337.1,20835564,SpC_CC_061023.xlsx,437,2023-10-06T16:51:00Z,2023-10-06T18:03:40Z,72.66666666666667,10,364.1098484848485,472.79105043610167,1460,FALSE,FALSE,FALSE,FALSE,FALSE,7.31,27.5,45,44.6,NA,NA,NA,0.01,0.01,193.5273717472219,0.12602739726027398,0.4943971743871328,1460,FALSE,212.76459719193699,0.14838709677419354,0.46163823965886835,1240,285,0.18158428362732484,FALSE,4500,184,3.106,NA,NA,0.9095844623654141,logger,193.5273717472219,1460,0.12602739726027398,0.4943971743871328,logger_trapz_truepeak,FALSE,FALSE,FALSE,FALSE,FALSE,20,19,1.89,6.7,TRUE,TRUE
CD_20231009_single,CD,2023-10-09,NA,NA,2023-10-09T15:24:00Z,NaCl + nutrient release,46,89,416.6,20835561,SpC_CD_091023.xlsx,648,2023-10-09T15:20:40Z,2023-10-09T17:08:30Z,107.83333333333333,10,396.6043494849294,473.87127761767533,1570,FALSE,FALSE,FALSE,FALSE,FALSE,8.33,26.7,66.7,65.8,12.8,2.2,1.9,0.01,0.01,49.60846943006239,0.033121019108280254,0.16280371447574826,1570,FALSE,38.330736686630026,0.04094488188976378,0.10175592724084478,1270,1905,0.13552032553080054,FALSE,1755,52,9.2,NA,NA,1.294221653907479,logger,49.60846943006239,1570,0.033121019108280254,0.16280371447574826,logger_trapz_truepeak,FALSE,FALSE,FALSE,FALSE,FALSE,30,29,4.46,6.95,TRUE,TRUE
RA_20230906_N,RA,2023-09-06,NA,N,2023-09-06T19:45:00Z,N addition,0,291,465.5,20835561,SpC_RA_060923.xlsx,223,2023-09-06T19:45:49Z,2023-09-06T21:36:49Z,111,30,482.8334276551594,508.88804841149783,3619,TRUE,FALSE,TRUE,FALSE,FALSE,8.17,27.4,80.5,80.1,12.6,2.2,1.8,0.01,0.01,645.8464784801278,0.03730312240950539,1.830176498018622,3619,TRUE,226.2881269617663,0.038135593220338986,0.6272492126259905,3540,480,0.13084487256672686,FALSE,6240,135,9.46,no pre-release baseline; residual salt from the preceding P slug,205,2.8540891082157844,probe,226.2881269617663,3540,0.038135593220338986,0.6272492126259905,probe_trapz_endrising,TRUE,FALSE,FALSE,TRUE,FALSE,29,0,9.29,NA,TRUE,TRUE
RA_20230906_P,RA,2023-09-06,NA,P,2023-09-06T17:30:00Z,P addition,0,291,465.5,20835561,SpC_RA_060923.xlsx,363,2023-09-06T16:46:49Z,2023-09-06T19:47:49Z,181,30,496.5284293488459,522.9314863347062,3829,FALSE,FALSE,FALSE,FALSE,FALSE,8.17,27.4,80.5,80.1,12.6,2.2,1.8,0.01,0.01,412.429197155834,0.035257247323060854,1.2365448249234108,3829,FALSE,244.14934666078256,0.0375,0.688229307007139,3600,2280,0.10149693808119753,FALSE,5957,135,9.46,peak only 3% above baseline; background noise of the same order as the signal,251,1.689249644926787,probe,244.14934666078256,3600,0.0375,0.688229307007139,probe_trapz_endrising,TRUE,FALSE,FALSE,FALSE,TRUE,0,22,NA,5.24,TRUE,TRUE
RA_20231005_downstream,RA,2023-10-05,downstream,NA,2023-10-05T16:15:00Z,NaCl + nutrient release,154,295,460.7,20835564,SpC_RA_dowstream_051023.xlsx,1022,2023-10-05T16:15:00Z,2023-10-05T19:05:10Z,170.16666666666666,10,460.0183823529411,502.0272760781424,9740,TRUE,TRUE,TRUE,FALSE,FALSE,8.17,27.2,69.6,69.3,12.6,2.2,1.8,0.01,0.01,30261.118479617806,0.013860369609856264,230.7910844816204,9740,TRUE,210.23082666068646,0.01991150442477876,1.1160950628450819,6780,1200,0.28952902626302146,FALSE,5947,135,9.46,start anchor contaminated by the pre-tracer step; logger depth physically impossible,201,143.9423464212477,probe,210.23082666068646,6780,0.01991150442477876,1.1160950628450819,probe_trapz_endrising,TRUE,FALSE,FALSE,TRUE,FALSE,27,28,9.82,5.9,TRUE,TRUE
RA_20231005_upstream,RA,2023-10-05,upstream,NA,2023-10-05T16:15:00Z,NaCl + nutrient release,154,295,460.7,20835561,SpC_RA_upstream_051023.xlsx,444,2023-10-05T15:46:30Z,2023-10-05T19:28:00Z,221.5,30,512.6112759643918,1858.0830552465704,360,FALSE,FALSE,FALSE,FALSE,FALSE,8.17,27.2,69.6,69.3,12.6,2.2,1.8,0.01,0.01,157.04971168515368,0.375,0.04427053183513846,360,FALSE,NA,NA,NA,NA,NA,NA,FALSE,5947,135,9.46,incomplete mixing (peak ratio 3.61): dilution gauging premise fails,290,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,TRUE,FALSE
RC_20231007_single,RC,2023-10-07,NA,NA,2023-10-07T15:30:00Z,NaCl + nutrient release,102,196,350.7,20835564,SpC_RC_071023.xlsx,478,2023-10-07T15:21:10Z,2023-10-07T16:40:40Z,79.5,10,377.2927366104182,456.21312684365785,870,FALSE,FALSE,FALSE,FALSE,FALSE,8.24,28.8,48.1,47.7,28.6,0.5,0.9,0.01,0.01,501.39555270237736,0.1724137931034483,0.3697043231215088,870,FALSE,494.00604024117064,0.2,0.3140135012974642,750,196,0.16951915240423795,FALSE,4752,150,7.866,NA,NA,1.0149583443506058,logger,501.39555270237736,870,0.1724137931034483,0.3697043231215088,logger_trapz_truepeak,FALSE,FALSE,FALSE,FALSE,FALSE,23,23,2.4,4.1,TRUE,TRUE
RS_20231011_single,RS,2023-10-11,NA,NA,2023-10-11T14:40:40Z,NaCl + nutrient release,484,924,368.4,20835561,SpC_RS_111023.xlsx,505,2023-10-11T14:36:10Z,2023-10-11T16:00:10Z,84,10,408.07301467820855,434.2005317128751,1930,FALSE,FALSE,FALSE,FALSE,FALSE,7.57,27,43.9,43.5,28.6,0.5,0.9,0.01,0.01,1099.1888991010203,0.21139896373056996,0.7470681820715606,1930,FALSE,1193.565414606163,0.24431137724550897,0.7019291759607745,1670,480,0.17732822316172114,FALSE,10448,408,6.96,NA,NA,0.9209289123576996,logger,1099.1888991010203,1930,0.21139896373056996,0.7470681820715606,logger_trapz_truepeak,FALSE,FALSE,FALSE,FALSE,FALSE,21,21,0.91,7.7,TRUE,TRUE
SA_20231010_single,SA,2023-10-10,NA,NA,2023-10-10T16:45:00Z,NaCl + nutrient release,155,298,5.1,20835561,SpC_SA_101023.xlsx,773,2023-10-10T16:28:30Z,2023-10-10T18:37:10Z,128.66666666666666,10,4.165877674682825,27.835637189926153,2240,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,316.36234655268873,0.08928571428571429,0.35432582813901137,2240,FALSE,NA,NA,NA,NA,NA,NA,FALSE,3139,200,10,NA,NA,NA,logger,316.36234655268873,2240,0.08928571428571429,0.35432582813901137,logger_trapz_truepeak,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,TRUE,FALSE
SR_20231009_downstream,SR,2023-10-09,downstream,NA,2023-10-09T20:33:10Z,NaCl-only discharge slug,0,0,NA,20835561,SpC_SR_091023_downstream.xlsx,708,2023-10-09T20:20:20Z,2023-10-09T22:18:10Z,117.83333333333333,10,418.15906027344505,1232.64558426533,2560,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.131674478493041,0.028125,0.10900754628432073,2560,FALSE,NA,NA,NA,NA,NA,NA,FALSE,3101,72,2,NA,NA,NA,logger,6.131674478493041,2560,0.028125,0.10900754628432073,logger_trapz_truepeak,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,TRUE,FALSE
SR_20231009_upstream,SR,2023-10-09,upstream,NA,2023-10-09T20:33:10Z,NaCl-only discharge slug,0,0,NA,20835564,SpC_SR_091023_upstream.xlsx,492,2023-10-09T19:34:00Z,2023-10-10T03:45:00Z,491,1,441.53342323251786,714.907192575406,3110,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.480034523911125,0.016720257234726688,0.13397026316695768,3110,FALSE,NA,NA,NA,NA,NA,NA,FALSE,3101,52,2,NA,NA,NA,logger,4.480034523911125,3110,0.016720257234726688,0.13397026316695768,logger_trapz_truepeak,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,TRUE,FALSE
