event_id,stream,date,station,slug_label,addition_datetime,label,nacl_mass_g,amonium_added_g,phophate_added_g,reach_length_m,reach_mean_width_m,background_spc_probe,logger_serial,source_file,n_obs,start,end,duration_min,dt_median_s,spc_min,spc_max,t_peak_s,flag_no_pre_release,flag_peak_at_edge,flag_truncated_tail,flag_logging_gap,flag_na_present
CB_20230907_single,CB,2023-09-07,NA,NA,2023-09-07T17:58:00Z,NaCl + nutrient release,7632,195,355,162,7.65,365,20835561,SpC_CB_070923.xlsx,174,2023-09-07T17:47:34Z,2023-09-07T19:14:04Z,86.5,30,378.7347842124678,438.4459210040606,1984,FALSE,FALSE,TRUE,FALSE,FALSE
CB_20231008_single,CB,2023-10-08,NA,NA,2023-10-08T14:40:00Z,NaCl + nutrient release,8275,182,349,162,7.65,368.3,20835561,SpC_CB_100823.xlsx,710,2023-10-08T14:26:30Z,2023-10-08T16:24:40Z,118.16666666666667,10,117.72339636633296,465.1357381926366,2180,FALSE,FALSE,TRUE,FALSE,FALSE
CC_20231006_single,CC,2023-10-06,NA,NA,2023-10-06T17:06:00Z,NaCl + nutrient release,4500,103,199,184,3.106,337.1,20835564,SpC_CC_061023.xlsx,437,2023-10-06T16:51:00Z,2023-10-06T18:03:40Z,72.66666666666667,10,364.1098484848485,472.79105043610167,1460,FALSE,FALSE,FALSE,FALSE,FALSE
CD_20231009_single,CD,2023-10-09,NA,NA,2023-10-09T15:24:00Z,NaCl + nutrient release,1755,46,89,165,5.49,416.6,20835561,SpC_CD_091023.xlsx,648,2023-10-09T15:20:40Z,2023-10-09T17:08:30Z,107.83333333333333,10,396.6043494849294,473.87127761767533,1570,FALSE,FALSE,FALSE,FALSE,FALSE
RA_20230906_N,RA,2023-09-06,NA,N,2023-09-06T19:45:00Z,N addition,5957,0,291,135,9.46,465.5,20835561,SpC_RA_060923.xlsx,223,2023-09-06T19:45:49Z,2023-09-06T21:36:49Z,111,30,482.8334276551594,508.88804841149783,3619,TRUE,FALSE,TRUE,FALSE,FALSE
RA_20230906_P,RA,2023-09-06,NA,P,2023-09-06T17:30:00Z,P addition,5957,0,291,135,9.46,465.5,20835561,SpC_RA_060923.xlsx,363,2023-09-06T16:46:49Z,2023-09-06T19:47:49Z,181,30,496.5284293488459,522.9314863347062,3829,FALSE,FALSE,FALSE,FALSE,FALSE
RA_20231005_downstream,RA,2023-10-05,downstream,NA,2023-10-05T16:15:00Z,NaCl + nutrient release,5947,154,295,137,9.46,460.7,20835564,SpC_RA_dowstream_051023.xlsx,1022,2023-10-05T16:15:00Z,2023-10-05T19:05:10Z,170.16666666666666,10,460.0183823529411,502.0272760781424,9740,TRUE,TRUE,TRUE,FALSE,FALSE
RA_20231005_upstream,RA,2023-10-05,upstream,NA,2023-10-05T16:15:00Z,NaCl + nutrient release,5947,154,295,137,9.46,460.7,20835561,SpC_RA_upstream_051023.xlsx,444,2023-10-05T15:46:30Z,2023-10-05T19:28:00Z,221.5,30,512.6112759643918,1858.0830552465704,360,FALSE,FALSE,FALSE,FALSE,FALSE
RC_20231007_single,RC,2023-10-07,NA,NA,2023-10-07T15:30:00Z,NaCl + nutrient release,4752,102,196,150,7.866,350.7,20835564,SpC_RC_071023.xlsx,478,2023-10-07T15:21:10Z,2023-10-07T16:40:40Z,79.5,10,377.2927366104182,456.21312684365785,870,FALSE,FALSE,FALSE,FALSE,FALSE
RS_20231011_single,RS,2023-10-11,NA,NA,2023-10-11T14:40:40Z,NaCl + nutrient release,10448,484,924,408,6.96,368.4,20835561,SpC_RS_111023.xlsx,505,2023-10-11T14:36:10Z,2023-10-11T16:00:10Z,84,10,408.07301467820855,434.2005317128751,1930,FALSE,FALSE,FALSE,FALSE,FALSE
SA_20231010_single,SA,2023-10-10,NA,NA,2023-10-10T16:45:00Z,NaCl + nutrient release,3139,155,298,200,10,5.1,20835561,SpC_SA_101023.xlsx,773,2023-10-10T16:28:30Z,2023-10-10T18:37:10Z,128.66666666666666,10,4.165877674682825,27.835637189926153,2240,FALSE,FALSE,FALSE,FALSE,FALSE
SR_20231009_downstream,SR,2023-10-09,downstream,NA,2023-10-09T20:33:10Z,NaCl-only discharge slug,3101,0,0,72,2,NA,20835561,SpC_SR_091023_downstream.xlsx,708,2023-10-09T20:20:20Z,2023-10-09T22:18:10Z,117.83333333333333,10,418.15906027344505,1232.64558426533,2560,FALSE,FALSE,FALSE,FALSE,FALSE
SR_20231009_upstream,SR,2023-10-09,upstream,NA,2023-10-09T20:33:10Z,NaCl-only discharge slug,3101,0,0,52,2,NA,20835564,SpC_SR_091023_upstream.xlsx,492,2023-10-09T19:34:00Z,2023-10-10T03:45:00Z,491,1,441.53342323251786,714.907192575406,3110,FALSE,FALSE,FALSE,FALSE,FALSE
