event_id,datetime,time_since_release_s,full_range_uscm,temp_c,spc_uscm,background_drift_uscm,spc_corr_uscm,nacl_mgL,background_anchor_end,flag_truncated_tail
RA_20231005_upstream,2023-10-05T15:46:30Z,-1710,553.3000000000001,28.76,514.6019345238096,514.6537240993093,-0.051789575499697094,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:47:00Z,-1680,553.3000000000001,28.67,515.4648779578908,514.6537240993093,0.8111538585815197,0.3740230441919387,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:47:30Z,-1650,553.3000000000001,28.68,515.3688524590165,514.6537240993093,0.715128359707137,0.3297456866609609,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:48:00Z,-1620,553.4,28.64,515.8463832960477,514.6537240993093,1.1926591967384184,0.5499351556160847,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:48:30Z,-1590,553.4,28.63,515.9425694573932,514.6537240993093,1.288845358083904,0.5942865946124882,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:49:00Z,-1560,553,28.62,515.6657963446476,514.6537240993093,1.0120722453382314,0.46666651232545847,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:49:30Z,-1530,553.4,28.63,515.9425694573932,514.6537240993093,1.288845358083904,0.5942865946124882,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:50:00Z,-1500,553.4,28.64,515.8463832960477,514.6537240993093,1.1926591967384184,0.5499351556160847,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:50:30Z,-1470,553,28.61,515.7619847043462,514.6537240993093,1.1082606050368895,0.5110189649825098,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:51:00Z,-1440,553.3000000000001,28.69,515.2728627304899,514.6537240993093,0.61913863118059,0.28548482283737003,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:51:30Z,-1410,552.9,28.67,515.0922302962548,514.6537240993093,0.4385061969454682,0.2021952074115554,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:52:00Z,-1380,553.3000000000001,28.69,515.2728627304899,514.6537240993093,0.61913863118059,0.28548482283737003,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:52:30Z,-1350,553.3000000000001,28.73,514.889261120417,514.6537240993093,0.23553702110768882,0.10860612043275532,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:53:00Z,-1320,553.3000000000001,28.74,514.7934499441758,514.6537240993093,0.13972584486646156,0.06442758706792542,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:53:30Z,-1290,553.3000000000001,28.72,514.9851079672376,514.6537240993093,0.3313838679282526,0.15280110150171727,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:54:00Z,-1260,553.3000000000001,28.74,514.7934499441758,514.6537240993093,0.13972584486646156,0.06442758706792542,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:54:30Z,-1230,552.9,28.65,515.2842497670084,514.6537240993093,0.6305256676990894,0.2907353853760501,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:55:00Z,-1200,552.5,28.65,514.9114631873252,514.6537240993093,0.25773908801591006,0.11884349348413613,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:55:30Z,-1170,552.6,28.63,515.1967182547082,514.6537240993093,0.5429941553989011,0.25037460505443326,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:56:00Z,-1140,552.6,28.62,515.2928011935845,514.6537240993093,0.6390770942751942,0.29467844817029204,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:56:30Z,-1110,552.2,28.59,515.2080612054488,514.6537240993093,0.5543371061394282,0.25560483964089037,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:57:00Z,-1080,552.2,28.61,515.015855250886,514.6537240993093,0.3621311515767047,0.16697867399201854,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:57:30Z,-1050,552.2,28.57,515.4004106776182,514.6537240993093,0.7466865783088679,0.34429718125821895,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:58:00Z,-1020,552.2,28.58,515.3042179917879,514.6537240993093,0.6504938924786074,0.2999427338218859,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:58:30Z,-990,551.4,28.57,514.6537240993093,514.6537240993093,0,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:59:00Z,-960,551.4,28.54,514.9420993649608,514.6537240993093,0.2883752656514389,0.13296983499187848,tail_return,FALSE
RA_20231005_upstream,2023-10-05T15:59:30Z,-930,551.4,28.57,514.6537240993093,514.6537240993093,0,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:00:00Z,-900,551.8000000000001,28.58,514.9309443822322,514.6537240993093,0.2772202829228263,0.1278262724557152,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:00:30Z,-870,551.4,28.56,514.7498132935025,514.6537240993093,0.09608919419315498,0.044306727442463764,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:01:00Z,-840,551.4,28.58,514.5576707726763,514.6537240993093,-0.09605332663306854,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:01:30Z,-810,551.4,28.57,514.6537240993093,514.6537240993093,0,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:02:00Z,-780,551.8000000000001,28.58,514.9309443822322,514.6537240993093,0.2772202829228263,0.1278262724557152,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:02:30Z,-750,551.4,28.59,514.4616532935248,514.6537240993093,-0.1920708057845104,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:03:00Z,-720,551.4,28.61,514.2697257974258,514.6537240993093,-0.38399830188348005,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:03:30Z,-690,552.1,28.68,514.2511177347244,514.6537240993093,-0.40260636458492627,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:04:00Z,-660,551.8000000000001,28.62,514.5468108914584,514.6537240993093,-0.1069132078508801,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:04:30Z,-630,551.4,28.58,514.5576707726763,514.6537240993093,-0.09605332663306854,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:05:00Z,-600,552.1,28.68,514.2511177347244,514.6537240993093,-0.40260636458492627,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:05:30Z,-570,552.1,28.67,514.346934972983,514.6537240993093,-0.3067891263262936,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:06:00Z,-540,551.4,28.59,514.4616532935248,514.6537240993093,-0.1920708057845104,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:06:30Z,-510,551.4,28.63,514.0779414506806,514.6537240993093,-0.575782648628774,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:07:00Z,-480,552.1,28.68,514.2511177347244,514.6537240993093,-0.40260636458492627,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:07:30Z,-450,552.5,28.69,514.5278450363196,514.6537240993093,-0.12587906298972484,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:08:00Z,-420,552.5,28.78,513.6667906284864,514.6537240993093,-0.9869334708229189,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:08:30Z,-390,552.5,28.74,514.0491254186826,514.6537240993093,-0.6045986806267365,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:09:00Z,-360,552.5,28.75,513.953488372093,514.6537240993093,-0.7002357272162953,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:09:30Z,-330,552.5,28.75,513.953488372093,514.6537240993093,-0.7002357272162953,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:10:00Z,-300,552.5,28.73,514.144798064396,514.6537240993093,-0.5089260349133156,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:10:30Z,-270,552.5,28.74,514.0491254186826,514.6537240993093,-0.6045986806267365,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:11:00Z,-240,552.9,28.79,513.9431121026213,514.6537240993093,-0.7106119966880442,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:11:30Z,-210,552.9,28.8,513.8475836431227,514.6537240993093,-0.8061404561866539,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:12:00Z,-180,552.9,28.78,514.0386760877649,514.6537240993093,-0.6150480115444452,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:12:30Z,-150,552.9,28.8,513.8475836431227,514.6537240993093,-0.8061404561866539,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:13:00Z,-120,553.2,28.87,513.4583255986636,514.6537240993093,-1.1953985006457515,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:13:30Z,-90,553.3000000000001,28.8,514.2193308550186,514.6537240993093,-0.4343932442907317,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:14:00Z,-60,552.9,28.79,513.9431121026213,514.6537240993093,-0.7106119966880442,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:14:30Z,-30,552.9,28.78,514.0386760877649,514.6537240993093,-0.6150480115444452,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:15:00Z,0,552.9,28.78,514.0386760877649,514.6499889934549,-0.6113129056900561,0,tail_return,FALSE
RA_20231005_upstream,2023-10-05T16:15:30Z,30,552.9,28.79,513.9431121026213,514.6462538876006,-0.703141784979266,0,tail_return,FALSE
