stream,date,ph_up,ph_down,spc_uscm_up,spc_uscm_down,ca_mgL_up,ca_mgL_down,ca_mass_trans_mgL,reach_length_m,lrr_ca,lrr_spc,lrr_h,lrr_ca_excess,ca_change_pct,in_study,ca_mean_mgL,ca_delta_sd,ca_delta_z,flag_ca_resolved
CB,2023-08-31,NA,7.38,NA,367,42,42.4,0.3999999999999986,252,0.009478743954543739,NA,NA,NA,0.952380952380949,FALSE,42.2,5.490542734557305,0.07285254287930609,FALSE
CB,2023-09-07,NA,7.56,NA,365,42,42.4,0.3999999999999986,252,0.009478743954543739,NA,NA,NA,0.952380952380949,TRUE,42.2,5.490542734557305,0.07285254287930609,FALSE
CB,2023-10-08,7.36,7.35,367.7,368.4,42.7,43.1,0.3999999999999986,162,0.009324076875123244,0.001901916073925334,0.023025850929942013,0.00742216080119791,0.936768149882905,TRUE,42.900000000000006,5.581618087974133,0.07166380674840832,FALSE
CC,2023-08-02,7.25,7.27,327,333,46.8,47.7,0.9000000000000057,126,0.01904819497069463,0.01818231908319033,-0.04605170185987994,8.658758875043013e-4,1.9230769230769384,FALSE,47.25,6.147586355635845,0.1463989195003213,FALSE
CC,2023-10-06,NA,7.31,336.5,337.1,44.6,45,0.3999999999999986,184,0.008928630744301398,0.0017814731552325404,NA,0.007147157589068857,0.8968609865470878,TRUE,44.8,5.8288226186769485,0.06862449351577495,FALSE
CD,2023-09-11,NA,8.36,NA,426.6,69.7,64.1,-5.6000000000000085,52,-0.08375595383985394,NA,NA,NA,-8.034433285509335,FALSE,66.9,8.704201633693927,-0.6433674489251757,FALSE
CD,2023-10-09,8.34,8.33,417.4,416.7,66.6,65.8,-0.7999999999999972,52,-0.012084739215071886,-0.0016784562146925693,0.02302585092993997,-0.010406283000379317,-1.2012012012011963,TRUE,66.19999999999999,8.613126280277097,-0.09288148971319389,FALSE
RA,2023-08-04,7.83,7.9,471,462,80.5,80.1,-0.4000000000000057,206,-0.004981330350204248,-0.019293202934678896,-0.16118095650958386,0.014311872584474647,-0.496894409937898,FALSE,80.3,10.447644113387478,-0.038286143331342115,FALSE
RA,2023-10-05,8.1,8.15,462.9,460.7,69.6,69.3,-0.29999999999999716,137,-0.004319661144516396,-0.004763976095353514,-0.11512925464970393,4.443149508371177e-4,-0.4310344827586188,TRUE,69.44999999999999,9.035976135426653,-0.0332006188931609,FALSE
RC,2023-08-10,8.12,8.09,369,367,48.1,47.7,-0.3999999999999986,340,-0.008350779217419963,-0.005434795985956945,0.0690775527898199,-0.0029159832314630185,-0.8316008316008316,FALSE,47.900000000000006,6.2321563266657565,-0.06418324236966005,FALSE
RC,2023-10-07,8.22,8.24,351.7,350.7,43.5,43.1,-0.3999999999999986,150,-0.009237940984936249,-0.002847382333804377,-0.04605170185987994,-0.006390558651131872,-0.9195402298850519,TRUE,43.3,5.6336611470694615,-0.07100178543895422,FALSE
RS,2023-08-28,7.46,7.5,384,389,37.2,43.6,6.399999999999999,408,0.15874838907588762,0.012936791030719362,-0.09210340371976192,0.14581159804516824,17.204301075268802,FALSE,40.400000000000006,5.256348968628321,1.2175751720818722,TRUE
RS,2023-10-11,7.51,7.57,368.4,368.4,43.5,43.9,0.3999999999999986,408,0.009153381986487201,0,-0.1381551055796439,0.009153381986487201,0.9195402298850519,TRUE,43.7,5.685704206164792,0.07035188351273952,FALSE
SR,2023-10-11,7.81,7.8,450.9,451,50,39.6,-10.399999999999999,72,-0.23319388716771114,2.2175407564000436e-4,0.02302585092993997,-0.23341564124335115,-20.799999999999997,TRUE,44.8,5.8288226186769485,-1.7842368314101547,TRUE
