point_id,stream,station,discharge_source,n_campaigns,event_ids,mean_discharge_Ls,sd_discharge_Ls,min_discharge_Ls,max_discharge_Ls,mean_water_velocity_ms,sd_water_velocity_ms,min_water_velocity_ms,max_water_velocity_ms,mean_stream_depth_m,sd_stream_depth_m,min_stream_depth_m,max_stream_depth_m,mean_reach_length_m,sd_reach_length_m,min_reach_length_m,max_reach_length_m,mean_reach_mean_width_m,sd_reach_mean_width_m,min_reach_mean_width_m,max_reach_mean_width_m,excluded_events_note
CB,CB,,logger,2,CB_20230907_single;CB_20231008_single,350.1068975380988,46.94533272321531,316.9115344244545,383.30226065174304,0.07798257620597804,0.005191082447709079,0.0743119266055045,0.0816532258064516,0.5779923656624328,0.039201785979623434,0.5502725169616174,0.6057122143632483,162.0,0.0,162.0,162.0,7.75,0.0,7.75,7.75,
CC,CC,,logger,1,CC_20231006_single,193.5273717472219,,193.5273717472219,193.5273717472219,0.1260273972602739,,0.1260273972602739,0.1260273972602739,0.4943971743871328,,0.4943971743871328,0.4943971743871328,184.0,,184.0,184.0,3.106,,3.106,3.106,
CD,CD,,logger,1,CD_20231009_single,49.60846943006239,,49.60846943006239,49.60846943006239,0.0331210191082802,,0.0331210191082802,0.0331210191082802,0.1628037144757482,,0.1628037144757482,0.1628037144757482,52.0,,52.0,52.0,9.2,,9.2,9.2,
RA,RA,,probe,2,RA_20230906_N;RA_20230906_P,235.21873681127443,12.629789569437143,226.2881269617663,244.14934666078256,0.03781779661016945,0.0004494322761778342,0.0375,0.0381355932203389,0.6577392598165648,0.04311943825430578,0.6272492126259905,0.688229307007139,135.0,0.0,135.0,135.0,9.46,0.0,9.46,9.46,
RA_downstream,RA,downstream,probe,1,RA_20231005_downstream,210.2308266606865,,210.2308266606865,210.2308266606865,0.0199115044247787,,0.0199115044247787,0.0199115044247787,1.116095062845082,,1.116095062845082,1.116095062845082,135.0,,135.0,135.0,9.46,,9.46,9.46,
RA_upstream,RA,upstream,NONE_VALID,0,,,,,,,,,,,,,,,,,,,,,,ALL 1 event(s) at this point excluded (flag_discharge_invalid): RA_20231005_upstream
RC,RC,,logger,1,RC_20231007_single,501.39555270237736,,501.39555270237736,501.39555270237736,0.1724137931034483,,0.1724137931034483,0.1724137931034483,0.3697043231215088,,0.3697043231215088,0.3697043231215088,150.0,,150.0,150.0,7.866,,7.866,7.866,
RS,RS,,logger,1,RS_20231011_single,1099.1888991010203,,1099.1888991010203,1099.1888991010203,0.2113989637305699,,0.2113989637305699,0.2113989637305699,0.7470681820715606,,0.7470681820715606,0.7470681820715606,408.0,,408.0,408.0,6.96,,6.96,6.96,
SA,SA,,logger,1,SA_20231010_single,316.36234655268873,,316.36234655268873,316.36234655268873,0.0892857142857142,,0.0892857142857142,0.0892857142857142,0.3543258281390113,,0.3543258281390113,0.3543258281390113,200.0,,200.0,200.0,10.0,,10.0,10.0,
SR,SR,,probe,1,SR_20231011_single,4.429382893518156,,4.429382893518156,4.429382893518156,0.0727272727272727,,0.0727272727272727,0.0727272727272727,0.0406026765239164,,0.0406026765239164,0.0406026765239164,72.0,,72.0,72.0,1.5,,1.5,1.5,
SR_downstream,SR,downstream,logger,1,SR_20231009_downstream,6.131674478493041,,6.131674478493041,6.131674478493041,0.028125,,0.028125,0.028125,0.1090075462843207,,0.1090075462843207,0.1090075462843207,72.0,,72.0,72.0,2.0,,2.0,2.0,
SR_upstream,SR,upstream,logger,1,SR_20231009_upstream,4.480034523911125,,4.480034523911125,4.480034523911125,0.0167202572347266,,0.0167202572347266,0.0167202572347266,0.1339702631669576,,0.1339702631669576,0.1339702631669576,52.0,,52.0,52.0,2.0,,2.0,2.0,
