stream,date,sample_btc,a_PO4,a_HPO4,a_H2PO4
CB,20230907,10,1.4870853405085914e-12,8.478407382365015e-8,3.68888079530297e-8
CB,20230907,22,1.6030383805187237e-12,9.139497290018412e-8,3.976515224073621e-8
CB,20230907,14,3.4777367874928977e-12,1.9827825915436605e-7,8.626913396990148e-8
CB,20230907,5,5.28542232483814e-12,3.0134090113818624e-7,1.3111078683952898e-7
CB,20230907,8,5.800158618296025e-12,3.306878651055129e-7,1.4387939383106009e-7
CB,20230907,18,7.184239058912689e-12,4.0959925980393594e-7,1.7821305053161808e-7
CB,20230907,1,5.7684558399190306e-12,3.288803758988675e-7,1.4309297110785233e-7
CB,20230907,16,4.7251571250185086e-12,2.693981707727018e-7,1.1721278462276078e-7
CB,20230907,15,4.1469567566984504e-11,2.364328920646597e-6,1.028698805779696e-6
CB,20230907,20,1.1830855254550568e-10,6.745195302346776e-6,2.9347753993455954e-6
CB,20230907,12,1.2115496276737028e-10,6.907479367564206e-6,3.0053837747828675e-6
CB,20230907,3,8.567539829796092e-12,4.884662027318904e-7,2.1252736665616814e-7
CB,20230907,24,2.9957261237650465e-11,1.707971008213063e-6,7.431232266848148e-7
CB,20231008,3,3.9720319275146526e-13,8.238330441979605e-8,1.30213915452698e-7
CB,20231008,4,1.5457789086780203e-12,1.3995030658897505e-7,9.65588410797914e-8
CB,20231008,5,1.3005155774677254e-12,1.1774488108781556e-7,8.123818759688925e-8
CB,20231008,6,1.117172612824251e-12,1.0114554468288909e-7,6.97854603752147e-8
CB,20231008,7,1.1841653387459797e-12,1.0721087037684362e-7,7.397023734394045e-8
CB,20231008,8,4.288897309891295e-13,3.883042329522069e-8,2.6791085803306184e-8
CB,20231008,9,1.3011700211665173e-12,1.1780413250842727e-7,8.127906816832934e-8
CB,20231008,10,2.5582628600898866e-12,2.3161764570262062e-7,1.5980480491806566e-7
CB,20231008,11,1.7617858979282724e-12,1.5950694835787375e-7,1.1005196382201886e-7
CB,20231008,12,2.8525896778980437e-12,2.5826513594741623e-7,1.7819026500340567e-7
CB,20231008,13,2.1104551367401776e-12,1.9107444264565803e-7,1.3183198516326288e-7
CB,20231008,14,4.467814910588411e-12,4.045029098335855e-7,2.790871498527419e-7
CB,20231008,15,5.563116606848166e-12,5.036683256239159e-7,3.475064185009479e-7
CB,20231008,16,6.262259538564631e-12,5.669666842015408e-7,3.91179178464663e-7
CB,20231008,17,5.861332173609993e-12,5.306678918384761e-7,3.661347937212433e-7
CB,20231008,18,5.0803996927452664e-12,4.599645464190605e-7,3.173529563636926e-7
CB,20231008,19,5.106204229377895e-12,4.623008137810016e-7,3.1896486615096003e-07
CB,20231008,20,5.697693590928765e-12,5.158525326124864e-7,3.559129231736946e-7
CB,20231008,21,3.8228273753829086e-12,3.4610762264773956e-7,2.387972684468576e-7
CB,20231008,22,4.048512971949888e-12,3.66540537248234e-7,2.528949764247367e-7
